ID,Excerpt,Feature,SubFeature,GoldSummary,bart_summary
29.0,“They would have noticed the error if it had been obvious.”,Conditional,Unreal,“The deponent says they would have noticed the error if it had been obvious.”,"“They would have noticed the error if it had been obvious,” he said."
30.0,"If you submit the report by Monday, we will review it.",Conditional,Real – Future,"The deponent states that if you submit the report by Monday, we will review it.","If you submit the report by Monday, we will review it. If you submit it by Monday we will reviewed it."
31.0,"If the contract is signed today, the transaction will close tomorrow.",Conditional,Real – Future,"The deponent says that if the contract is signed today, the transaction will close tomorrow.","If the contract is signed today, the transaction will close tomorrow. If the contract isn't signed, the deal will close next week."
32.0,"If the evidence is admissible, the jury can consider it.",Conditional,Real – Present,"The deponent explains that if the evidence is admissible, the jury can consider it.","If the evidence is admissible, the jury can consider it. If the evidence isn't admissible the jury cannot consider it at all."
33.0,"If the witnesses are present, we can start the hearing.",Conditional,Real – Present,"The deponent reports that if the witnesses are present, we can start the hearing.","If the witnesses are present, we can start the hearing. If the witnesses aren't present, the hearing will be adjourned."
34.0,"If the defendant pleads guilty, sentencing will follow immediately.",Conditional,Real – Future,"The deponent warns that if the defendant pleads guilty, sentencing will follow immediately.","If the defendant pleads guilty, sentencing will follow immediately. If the defendant does not plead guilty, the case will go to trial."
35.0,"If she had told me, I might have warned him.",Conditional,Unreal – Counterfactual,"The deponent says that if she had told them, they might have warned him.","If she had told me, I might have warned him. If she'd told me she might have told him she was pregnant."
36.0,"If they would have disclosed the document, we could have complied.",Conditional,Unreal – Counterfactual,"The deponent explains that if they would have disclosed the document, we could have complied.","If they would have disclosed the document, we could have complied. If they would've disclosed it, we would've complied."
37.0,"If I were in your position, I would reconsider.",Conditional,Unreal – Subjunctive,"The deponent says that if they were in your position, they would reconsider.","If I were in your position, I would reconsider. If I were you, I'd reconsider."
38.0,"If he had taken the earlier train, he wouldn’t have been delayed.",Conditional,Unreal – Counterfactual,"The deponent reports that if he had taken the earlier train, he wouldn’t have been delayed.","If he had taken the earlier train, he wouldn’t have been delayed, he says."
39.0,"If we were to negotiate, we might reach an agreement.",Conditional,Unreal – Hypothetical,"The deponent indicates that if we were to negotiate, we might reach an agreement.","If we were to negotiate, we might reach an agreement. If we could negotiate we could get a deal."
,,,,,No content. No content. no content. Please submit your own photos. Visit CNN.com/sport.
40.0,“She arrived before noon.”,Temporal,Sequence Marker,“The deponent states that she arrived before noon.”,"“She arrived before noon.” “She’s here.’ “I’m so happy,” she says. “It’ll be great.“I can’t wait”"
41.0,“He left after the meeting ended.”,Temporal,Sequence Marker,“The deponent reports that he left after the meeting ended.”,"“He left after the meeting ended.” “He’s not a bad guy,” says a source close to the president. “I’m not surprised.’ “"
42.0,"“During the discussion, the witness took notes.”",Temporal,Concurrent Marker,"“The deponent notes that during the discussion, the witness took notes.”","“During the discussion, the witness took notes’, the judge said. “During this discussion,” the witness said, “the witness took note.”"
43.0,"“While I was reviewing, the phone rang.”",Temporal,Concurrent Marker,"“The deponent explains that while they were reviewing, the phone rang.”","“While I was reviewing, the phone rang.” “I’m sorry,” he says. “It’s just a phone call.’"
44.0,"“By the time I arrived, they had already left.”",Temporal,Sequence Marker,"“The deponent says that by the time they arrived, everyone had already left.”","“By the time I arrived, they had already left.” “I’ve never seen anything like it,” he said."
45.0,"“Within two hours, the response was received.”",Temporal,Duration Span,"“The deponent states that within two hours, the response was received.”","“Within two hours, the response was received.” “Within three hours, we had a response,” says a spokesman."
46.0,"“Yesterday, I signed the document.”",Temporal,reference Point,"“The deponent confirms that yesterday, they signed the document.”","“Yesterday, I signed the document.” “I’m not worried. I’ve been through this before,” he says. “It’s not a big deal.’ “You’re not worried,’ he adds. ‘I�’ll be fine.‘’"
47.0,“The judge announced the verdict this morning.”,Temporal,relative daytime,“The deponent reports that the judge announced the verdict this morning.”,“The judge announced the verdict this morning.” “TheJudge announced the guilty verdict today.’ “I’m very happy. I’ve been waiting for this.“
48.0,“They’ll finish the report by Friday.”,Temporal,relative deadline,“The deponent indicates they’ll finish the report by Friday.”,"“They’ll finish the report by Friday,” says a source."
49.0,“She had called two days before the hearing.”,Temporal,relative offset,“The deponent says she had called two days before the hearing.”,"“She had called two days before the hearing’s start,” says the judge."
50.0,"At three o’clock, the meeting commenced.",Temporal,Absolute Time,"The deponent states that at three o’clock, the meeting commenced.","At three o’clock, the meeting commenced. The meeting was held at the House of Commons."
51.0,"By next Monday, the documents must be submitted.",Temporal,Relative Deadline,"The deponent states that by next Monday, the documents must be submitted.","By next Monday, the documents must be submitted. The documents must also be submitted by next Monday."
52.0,"As soon as the motion was filed, the hearing was scheduled.",Temporal,Sequence Marker,"The deponent reports that as soon as the motion was filed, the hearing was scheduled.","As soon as the motion was filed, a hearing was scheduled. The hearing was set for Monday."
53.0,"Following the agreement, work began immediately.",Temporal,Sequence Marker,"The deponent states that following the agreement, work began immediately.","Following the agreement, work began immediately on the new building. The new building will be completed by the end of the year."
54.0,"Previously, I had never seen such evidence.",Temporal,Reference Point,"The deponent says that previously, they had never seen such evidence.","Previously, I had never seen such evidence. I was shocked to see it in the first place."
55.0,"Over the next three weeks, the project progressed smoothly.",Temporal,Duration Span,"The deponent indicates that over the next three weeks, the project progressed smoothly.","Over the next three weeks, the project progressed smoothly. The project was completed in less than three weeks."
56.0,"Since Monday, I have been unavailable.",Temporal,Reference Point,"The deponent states that since Monday, they have been unavailable.","Since Monday, I have been unavailable. Since Monday I have not been able to answer questions."
57.0,"Until the deadline passes, we must remain vigilant.",Temporal,Relative Cut-off,"The deponent explains that until the deadline passes, we must remain vigilant.","Until the deadline passes, we must remain vigilant. We must stay alert and vigilant."
58.0,"Meanwhile, the team continued its investigation.",Temporal,Concurrent Marker,"The deponent notes that meanwhile, the team continued its investigation.","Meanwhile, the team continued its investigation. The team continued to investigate the incident."
59.0,"Tomorrow, I will review the settlement offer.",Temporal,Relative Day,"The deponent says that tomorrow, they will review the settlement offer.","Tomorrow, I will review the settlement offer. I will also review the terms of the settlement."
,,,,,No content. No content. no content. Please submit your own photos. Visit CNN.com/sport.
60.0,“I … I saw him leave the room.”,Disfluency,Repetition,"“The deponent stammers, ‘I … I saw him leave the room.’”","“I … I saw him leave the room.” “I saw him go to the bathroom,” she said. “He was gone.’ “It was like he was gone,’ she said, “like he was in a dream.“"
61.0,"“She said, ‘no … no, I didn’t agree to that.’”",Disfluency,Repetition,"“The deponent repeats, ‘no … no, I didn’t agree to that.’”","“She said, ‘no … no, I didn’t agree to that,’” he said."
62.0,"“Um, I think it was around 5 pm.”",Disfluency,Filled pause,"“The deponent begins with ‘Um,’ then says they think it was around 5 pm.”","“Um, I think it was around 5 pm.” he said. “I think it’s around 5pm.’"
63.0,"“Uh—I mean, I was at the store.”",Disfluency,Correction,"“The deponent says, ‘Uh—I mean, I was at the store.’”","“Uh—I mean, I was at the store.” “I was in the store,” he says. “Uh, I mean,’’ “You were at the grocery store. ‘I was there.’ You were there. ’”"
64.0,"“I—I’m sorry, I forgot the address.”",Disfluency,Correction,"“The deponent apologizes, ‘I—I’m sorry, I forgot the address.’”","“I—I’m sorry, I forgot the address.” “I don’t want to be rude,” she says. “It’s just that I’ve never been there.’"
65.0,"“They, they told me to wait outside.”",Disfluency,Repetition,"“The deponent repeats, ‘They, they told me to wait outside.’”","“They, they told me to wait outside.” “I was told to stay outside,” he says. “They told me I was to stay inside.’"
66.0,"“Well, um, I’m not entirely sure.”",Disfluency,Filled pause,"“The deponent hesitates with ‘Well, um, I’m not entirely sure.’”","“Well, um, I’m not entirely sure’s what happened.”"
67.0,“I … I don’t recall his name.”,Disfluency,Stutter,"“The deponent stammers, ‘I … I don’t recall his name.’”",“I … I don’t recall his name.” he said.
68.0,"“No, no, sorry, that’s not correct.”",Disfluency,Repetition,"“The deponent repeats ‘No, no,’ then apologizes that it’s not correct.”","“No, no, sorry, that’s not correct.” “I’m sorry, I’ve got to ask you again,” she says. “No. No, no.’ “That’ll be fine,’ she says, “It’d be fine.““I just want to make sure,“ she adds."
69.0,“My bad—I didn’t recognize her.”,Disfluency,Correction,"“The deponent admits, ‘My bad—I didn’t recognize her.’”","“My bad—I didn’t recognize her.” “I’m sorry,” she says. “My mistake.’"
70.0,“S-s-she was late to the hearing.”,Disfluency,Stutter,"The deponent stutters, “S-s-she was late to the hearing.”","“S-s-she was late to the hearing.” “I’m sorry,” she says. “S’s- she was late.’ “Yes,’ she says, “She was late”"
71.0,"“Um, I’m not sure what happened.”",Disfluency,Filled pause,"The deponent begins with “Um,” and says they’re not sure what happened.","“Um, I’m not sure what happened,” he said."
72.0,"“Well—no, I didn’t see him there.”",Disfluency,False start + correction,"The deponent starts “Well,” then corrects, “no, I didn’t see him there.”","“Well—no, I didn’t see him there.”"
73.0,"“Uh, I mean, I was in the conference room.”",Disfluency,Correction,"The deponent says “Uh, I mean, I was in the conference room.”","“Uh, I mean, I was in the conference room,” he said."
74.0,“They… they asked me to sign.”,Disfluency,Repetition,"The deponent repeats, “They… they asked me to sign.”","“They… they asked me to sign.” “I’m not going to sign it,” he says. “They’re not asking me to."
75.0,"“I, I forgot the date.”",Disfluency,Filled pause + stutter,"The deponent stutters “I, I” and says they forgot the date.","“I, I forgot the date.” “I’m sorry,” she says. “It’s just that I forgot.’"
76.0,"“So, so, it was around 4 pm.”",Disfluency,Repetition,"The deponent repeats “So, so,” then says it was around 4 pm.","“So, so, it was around 4 pm.” “It’s around 4pm,” he says."
77.0,“Let me… let me think about that.”,Disfluency,False start + repetition,"The deponent repeats the start, “Let me… let me think about that.”","“Let me… let me think about that.” “I don’t know,” he says. “Let’s see.’"
78.0,“My bad—I forgot to mention the witness’s name.”,Disfluency,Apology correction,"The deponent apologizes, “My bad—I forgot to mention the witness’s name.”","“My bad—I forgot to mention the witness’s name,” he said."
79.0,"“Uh-huh, I recall discussing it yesterday.”",Disfluency,Vocal affirmation + filled pause,"The deponent says “Uh-huh,” then recalls discussing it yesterday.","“Uh-huh, I recall discussing it yesterday.” “I’m sorry,” he says. “It’s just that I’ve been thinking about it a lot.’"
,,,,,No content. No content. no content. Please submit your own photos. Visit CNN.com/sport.
80.0,"I think, well, maybe it was around three o'clock when I saw him leaving the building. I'm not entirely sure about the exact time, but it seems like that's when it happened. You know, I could be wrong though.",Women's Speech,Multiple hedges + politeness,"The deponent thinks it was around three oclock when she saw him leaving, but she's not entirely sure of the exact time and acknowledges she could be wrong.","I think, well, maybe it was around three o'clock when I saw him leaving the building. I'm not entirely sure about the exact time, but it seems like that's when it happened."
81.0,"It appears that the document might have been misplaced or something. I mean, I thought I had put it in the usual filing spot, but I can't be completely certain. Sorry if that's not very helpful.",Women's Speech,Hedging + apologetic politeness,"The deponent says it appears the document might have been misplaced, though she thought she put it in the usual spot but can't be completely certain, and apologizes if this isn't helpful.","It appears that the document might have been misplaced or something. I mean, I thought I had put it in the usual filing spot, but I can't be completely certain. Sorry if that's not very helpful."
82.0,"I suppose the meeting could have started earlier than scheduled. It's possible that they began without waiting for everyone. I don't want to say definitively, but that seems like what probably happened.",Women's Speech,Tentative assertions + hedging,"The deponent supposes the meeting could have started early and it's possible they began without waiting, but she doesn't want to say definitively, though that seems like what probably happened.",I suppose the meeting could have started earlier than scheduled. It's possible that they began without waiting for everyone. That seems like what probably happened.
83.0,"Well, I think he might have been upset about the decision, you know? I mean, it seemed like he wasn't very happy when he left the room. But I could be misreading the situation entirely.",Women's Speech,Collaborative + hedged interpretation,"The deponent thinks he might have been upset about the decision and it seemed like he wasn't happy when leaving, but acknowledges she could be misreading the situation entirely.","""It seemed like he wasn't very happy when he left the room,"" he said."
84.0,"I'm not sure if this is relevant, but it feels like there might have been some tension in the office that day. I don't want to speculate too much, but several people seemed a bit on edge, if that makes sense.",Women's Speech,Uncertainty + collaborative checking,"The deponent isn't sure if it's relevant, but feels there might have been tension that day and doesn't want to speculate too much, though several people seemed on edge.","I'm not sure if this is relevant, but it feels like there might have been some tension in the office that day. Several people seemed a bit on edge, if that makes sense."
85.0,"I believe the email was sent sometime in the morning, probably around nine-thirty or so. At least, that's my recollection, though I could certainly be mistaken about the timing.",Women's Speech,Qualified certainty + hedging,"The deponent believes the email was sent around nine-thirty in the morning, at least according to her recollection, though she could be mistaken about the timing.","I believe the email was sent sometime in the morning, probably around nine-thirty or so."
86.0,"It's hard to say for sure, but I think maybe the project was running behind schedule. I mean, that's the impression I got from the conversations, but I don't want to make assumptions.",Women's Speech,Uncertainty + interpretive hedging,"The deponent says it's hard to say for sure, but thinks maybe the project was behind schedule based on her impression from conversations, though she doesn't want to make assumptions.","It's hard to say for sure, but I think maybe the project was running behind schedule. I mean, that's the impression I got from the conversations. I don't want to make assumptions."
87.0,"I suppose it's possible that I misunderstood the instructions. Perhaps they meant something different than what I initially thought. I should have asked for clarification, really.",Women's Speech,Self-doubt + responsibility-taking,"The deponent supposes it's possible she misunderstood the instructions and perhaps they meant something different than she initially thought, acknowledging she should have asked for clarification.","I suppose it's possible that I misunderstood the instructions. I should have asked for clarification, really."
88.0,"Well, I think the contract might need some revisions, you know? I mean, there are a few clauses that seem a bit unclear to me. But maybe that's just my interpretation of the language.",Women's Speech,Tentative criticism + collaborative discourse,"The deponent thinks the contract might need revisions because some clauses seem unclear to her, but acknowledges that might just be her interpretation of the language.","""There are a few clauses that seem a bit unclear to me,"" he says. ""Maybe that's just my interpretation of the language"""
89.0,"I'm pretty sure the deadline was supposed to be Friday, but I don't want to say that with complete certainty. It's possible I'm remembering wrong, so you might want to double-check that information.",Women's Speech,Qualified assertion + helpful suggestion,"The deponent is pretty sure the deadline was Friday but doesn't want to say that with complete certainty, noting it's possible she's remembering wrong and suggesting to double-check.","I'm pretty sure the deadline was supposed to be Friday, but I don't want to say that with complete certainty. It's possible I'm remembering wrong."
90.0,"If I remember correctly, and I might not be, the invoice was supposed to be processed last week. But I'm thinking there could have been a delay or something. I hope I'm not causing any confusion here.",Women's Speech,Memory hedging + apologetic concern,"The deponent thinks she remembers the invoice was supposed to be processed last week but acknowledges she might not remember correctly, suggesting there could have been a delay and hoping she's not causing confusion.","If I remember correctly, and I might not be, the invoice was supposed to be processed last week. But I'm thinking there could have been a delay or something. I hope I'm not causing any confusion here."
91.0,"I sort of got the impression that he wasn't entirely comfortable with the arrangement, you know what I mean? But then again, I might be reading too much into his body language. It's just a feeling I had.",Women's Speech,Impression hedging + collaborative checking,"The deponent got the impression he wasn't entirely comfortable with the arrangement but acknowledges she might be reading too much into his body language, describing it as just a feeling.","I sort of got the impression that he wasn't entirely comfortable with the arrangement, you know what I mean? But then again, I might be reading too much into his body language. It's just a feeling I had."
92.0,"I want to say it was Tuesday when we discussed this, but I'm not one hundred percent certain. Actually, now that I think about it, it might have been Wednesday. Sorry, I know that's not very precise.",Women's Speech,Self-correction + apologetic uncertainty,"The deponent wants to say it was Tuesday when they discussed this but isn't certain, then thinks it might have been Wednesday, apologizing for not being precise.","I want to say it was Tuesday when we discussed this, but I'm not one hundred percent certain. Actually, now that I think about it, it might have been Wednesday."
93.0,"Well, from what I could tell, and I don't claim to be an expert or anything, the system seemed to be malfunctioning. But maybe someone with more technical knowledge would see it differently, I suppose.",Women's Speech,Expertise disclaimer + deference,"The deponent says from what she could tell the system seemed to be malfunctioning, but disclaims expertise and acknowledges someone with more technical knowledge might see it differently.","Well, from what I could tell, and I don't claim to be an expert or anything, the system seemed to be malfunctioning. But maybe someone with more technical knowledge would see it differently."
94.0,"I believe, though I could be mistaken, that she mentioned something about needing additional resources. But I wasn't really part of that conversation directly, so I might not have the full context.",Women's Speech,Qualified belief + context disclaimer,"The deponent believes she mentioned needing additional resources but could be mistaken, noting she wasn't directly part of the conversation and might not have full context.","I believe, though I could be mistaken, that she mentioned something about needing additional resources. But I wasn't really part of that conversation directly, so I might not have the full context."
95.0,"It kind of seemed like the client wasn't satisfied with the proposal, if I'm being honest. But I don't want to put words in anyone's mouth. That was just my perception at the time.",Women's Speech,Tentative observation + disclaimer,"The deponent says it seemed like the client wasn't satisfied with the proposal, but doesn't want to put words in anyone's mouth, noting it was just her perception.","It kind of seemed like the client wasn't satisfied with the proposal, if I'm being honest. But I don't want to put words in anyone's mouth. That was just my perception at the time."
96.0,"I'm fairly certain, well, reasonably certain anyway, that the payment was processed before the end of the month. Though I suppose there's always a chance I'm confusing it with another transaction.",Women's Speech,Downgraded certainty + alternative possibility,"The deponent is fairly certain the payment was processed before month-end, downgrading to reasonably certain and acknowledging she might be confusing it with another transaction.","I'm fairly certain, well, reasonably certain anyway, that the payment was processed before the end of the month. Though there's always a chance I'm confusing it with another transaction."
97.0,"If I understood him correctly, and I might not have because it was quite noisy, he said the shipment would arrive Thursday. But you know, I could have misheard. Maybe you should confirm with him directly.",Women's Speech,Conditional understanding + helpful deflection,"The deponent says if she understood correctly, he said the shipment would arrive Thursday, but notes it was noisy and she might have misheard, suggesting to confirm with him directly.","If I understood him correctly, he said the shipment would arrive Thursday. But you know, I could have misheard. Maybe you should confirm with him directly."
99.0,"I have a vague recollection of discussing this issue, but I'm not entirely clear on all the details. It might have been during the quarterly review, or possibly earlier. I'm sorry I can't be more specific.",Women's Speech,Vague memory + temporal uncertainty,"The deponent has a vague recollection of discussing the issue but isn't clear on details, thinking it might have been during the quarterly review or earlier, apologizing for lack of specificity.","I have a vague recollection of discussing this issue, but I'm not entirely clear on all the details. It might have been during the quarterly review, or possibly earlier. I'm sorry I can't be more specific."
100.0,"I tend to think that the problem started when we changed vendors, but that's just my opinion. Others might see it differently, and they could very well be right. I don't have all the information.",Women's Speech,Opinion hedging + deference to others,"The deponent tends to think the problem started when they changed vendors but frames it as just her opinion, acknowledging others might see it differently and could be right as she doesn't have all information.","I tend to think that the problem started when we changed vendors, but that's just my opinion. Others might see it differently, and they could very well be right."
,,,,,No content. No content. no content. Please submit your own photos. Visit CNN.com/sport.
101.0,"I was, uh, I was walking to the parking lot, and I see—I saw—sorry, I saw the man with the blue jacket. He was, how do you say, he was moving very quickly towards the exit.",L2 Speech,Disfluency + self-correction + processing,"The deponent was walking to the parking lot and saw the man with the blue jacket moving very quickly towards the exit, with some hesitation in recounting the details.","I was, uh, I was walking to the parking lot, and I see—I saw—sorry, I saw the man with the blue jacket. He was, how do you say, he was moving very quickly towards the exit."
102.0,"The meeting, it was supposed to be at ten-thirty, but I think—no, I know—it was delayed because the, um, the main presenter, she was not there yet. We wait maybe fifteen minutes.",L2 Speech,Repetition + self-correction + filled pauses,"The deponent explains the meeting was supposed to be at ten-thirty but was delayed because the main presenter wasn't there yet, and they waited maybe fifteen minutes.","The meeting, it was supposed to be at ten-thirty, but I think—no, I know—it was delayed because the, um, the main presenter, she was not there yet. We wait maybe fifteen minutes."
103.0,"Um, the document, I remember it was—it was very important, yes? And, uh, and it had the, the signatures from both parties. I put it in the, how to say, the filing cabinet on the second floor.",L2 Speech,Filled pauses + confirmation seeking + processing,"The deponent remembers the document was very important and had signatures from both parties, explaining they put it in the filing cabinet on the second floor.","The document had the, the signatures from both parties. I put it in the, how to say, the filing cabinet."
104.0,"I-I was trying to understand what he was saying, but his, um, his English was—was also not perfect, you know? So we both struggle a little bit to communicate the details of the agreement.",L2 Speech,Repetition + empathetic acknowledgment + processing difficulty,"The deponent was trying to understand what he was saying, but notes his English wasn't perfect either, so they both struggled to communicate the agreement details.","I-I was trying to understand what he was saying, but his, um, his English was—was also not perfect, you know? So we both struggle a little bit to communicate the details of the agreement."
105.0,"The, uh, the supervisor, she told me that I need to, to finish the report by Wednesday. But I was confused because I thought—I thought she said Thursday before. So I ask her again to be sure.",L2 Speech,Filled pauses + repetition + confusion processing,"The deponent explains the supervisor told her to finish the report by Wednesday, but she was confused because she thought it was Thursday before, so she asked again to be sure.",The supervisor told him to finish the report by Wednesday. He was confused because he thought she said Thursday.
106.0,"In my country, we, we do this process differently, yes? So when I see the American way, I was, um, I was surprised and needed time to, to understand the correct procedure for filing the paperwork.",L2 Speech,Cultural reference + repetition + processing time,"The deponent explains that in her country they do this process differently, so she was surprised by the American way and needed time to understand the correct paperwork filing procedure.","In my country, we, we do this process differently, yes? So when I see the American way, I was surprised and needed time to, to understand the correct procedure for filing the paperwork."
107.0,"He was, uh, he was angry, I think. His face was, how do you say, red? And he was speaking very loud to the other employees. I feel uncomfortable, so I leave the room quickly.",L2 Speech,Processing + word searching + emotional response,"The deponent thinks he was angry, describing his red face and loud speaking to other employees, which made her feel uncomfortable so she left the room quickly.","He was, uh, he was angry, I think. His face was, how do you say, red? And he was speaking very loud to the other employees. I feel uncomfortable, so I leave the room quickly."
108.0,"The computer system, it was—it was not working properly that day. I try many times to, to login, but always it shows error message. So I go to IT department for help with this problem.",L2 Speech,Repetition + processing difficulty + sequential narrative,"The deponent explains the computer system wasn't working properly that day, and despite trying many times to login, it always showed error messages, so she went to IT for help.","The computer system, it was—it was not working properly that day. I try many times to, to login, but always it shows error message. So I go to IT department for help."
109.0,"I want to explain that the, the delay was not my fault, you understand? The shipping company, they deliver the materials one week late, and this make everything—everything behind schedule for our project.",L2 Speech,Emphasis + confirmation seeking + consequence explanation,"The deponent wants to explain the delay wasn't her fault, noting the shipping company delivered materials one week late, which put everything behind schedule for the project.","I want to explain that the, the delay was not my fault, you understand? The shipping company, they deliver the materials one week late, and this make everything—everything behind schedule for our project."
110.0,"Um, the contract, I read it very carefully, yes, but some words, some legal words I don't understand completely. So I, I ask my colleague to help me to understand the meaning of these terms.",L2 Speech,Processing + acknowledgment of limitation + help-seeking,"The deponent read the contract carefully but didn't completely understand some legal words, so she asked her colleague to help her understand the meaning of these terms.","""I read it very carefully, yes, but some words, some legal words I don't understand completely,"" he says."
111.0,"The customer, he was—how can I explain—he was not happy with the service, I think. He speak very fast and I, I cannot catch all the words, but I understand he want to cancel the order, yes?",L2 Speech,Word searching + comprehension difficulty + confirmation,"The deponent explains the customer wasn't happy with the service, noting he spoke very fast and she couldn't catch all the words, but understood he wanted to cancel the order.","The customer, he was not happy with the service, I think. He speak very fast and I, I cannot catch all the words, but I understand he want to cancel the order, yes?"
112.0,"When I arrive to the office—arrived, sorry—when I arrived to the office, the door was already open. This is, um, this is strange because usually I am the first person to come in the morning.",L2 Speech,Grammar self-correction + observation,"The deponent says when she arrived at the office the door was already open, which was strange because she's usually the first person to come in the morning.","When I arrive to the office, the door was already open. This is, um, this is strange because usually I am the first person to come."
113.0,"I remember the date very clear—clearly—because it was my daughter birthday. She turn, um, she turned eight years old that day, so I know for sure it was March fifteenth.",L2 Speech,Adverb correction + tense correction + certainty,"The deponent remembers the date clearly because it was her daughter's birthday when she turned eight, so she knows for sure it was March fifteenth.","I remember the date very clear—clearly—because it was my daughter birthday. She turn, um, she turned eight years old that day, so I know for sure it was March fifteenth."
114.0,"The, the training session, it last—lasted—for three hours, maybe more. We have to, we had to complete many exercises, and some of them were, how to say, complicated for me to understand at first.",L2 Speech,Tense corrections + word searching + difficulty acknowledgment,"The deponent says the training session lasted for three hours or more, and they had to complete many exercises, some of which were complicated for her to understand at first.","The, the training session, it last—lasted—for three hours, maybe more. We have to, we had to complete many exercises, and some of them were, how to say, complicated for me to understand at first."
