ID,SPEAKER,TEXT,LING_FEATURES,NOTES,pegasus_summary
T211,A,It's -- I don't know if I would go that route. I would say it's a sample of what might be coverage for a policy. It's not an all inclusive document. The best place to get a hundred percent information about a policy would not be on a Certificate of Insurance.,"disfluency_correction, uncertainty_hedge, cond_real",,"What would you do if you got a Certificate of Insurance from your insurance company and it said, ""This policy does not cover you in the event of an accident""?"
T215,Q,Is it your understanding that they are asking you to certify that they have liability coverage?,,,Is it possible for me to work for a company that does not have liability insurance and is not registered with the UK's Prudential Regulation Authority?
T215,A,I'm sorry. Say it one more time.,uncertainty_hedge,,"It's been a long time since I've apologised for anything, but I've just got to say that I'm really sorry for what I've done."
T215,Q,Is it your understanding that they are asking you to certify that they have liability insurance coverage?,,,"If you have been asked to certify that you have liability insurance coverage, do you understand that you have to do so in writing to the insurance company?"
T215,A,When they ask me for that I'm not sure what -- I'm not sure that they're -- I don't know what always they ask for the Certificate of Insurance for and that they are specifically asking me to certify that they have liability insurance.,"uncertainty_hedge, disfluency_correction",,"In the House of Representatives, I've been asked by the insurance company to certify that I have liability insurance, and I don't know what that is."
T215,Q,Okay. What is your understanding as to why your clients are asking you to certify that they had liability coverage?,,,"What is your understanding as to why your clients are asking you to certify that you had liability coverage, and why are they asking you to certify that you had liability coverage?"
T215,A,I don't always know why they're asking me for that information. It could be multiple reasons I suppose.,"cond_real, uncertainty_hedge",,"When I'm at work, I'm often asked if I've ever had a problem with alcohol or drugs, or if I've ever been in trouble with the law."
T356,A,I believe so. Yes,uncertainty_hedge,,"Is it possible for a man to be president of the United States of America and still have a wife and two children in the United States, even though he has never been married?"
T356,Q,"Okay.  And was it your impression that Dr. Zelenko understood that by taking 2.5 million out of the trust -- or actually, I should say, was it your impression that Dr. Zelenko understood that by changing the beneficiary of that two and a half million from the trust -- from a trust to Rinat, that that two and a half million would no longer be available for distribution from the trust that was in effect at the time? 
","disfluency_gen, disfluency_repeat","--or actually, ""from a trust.."" ","The former head of Ukraine's anti-corruption agency, Volodymyr Zelenko, took 2.5 million out of a trust that was set up for the benefit of the Ukrainian people, according to a report by the Ukrainian parliament's investigative committee."
T356,A,Repeat that question. Did I know he --,,,"Did you know Donald Trump is the president of the United States, and that he's the son of former President Donald Trump and his first wife Melania?"
T356,Q," Did you get the impression that Dr. Zelenko understood that by taking the two and a half million out of the trust, that that two and a half million would no longer be available for distribution through the trusts? 
",cond_real,,"The BBC's Andrew Neil looks at the implications for the BBC Trust and the BBC Children in Need Trust of the decision by the BBC Trust's chairman, Dr Peter Zelenko, to take two and a half million out of the trusts."
T356,A,We didn't discuss that,,,BBC Sport takes a look at some of the key talking points from this week's FA Cup semi-final between Arsenal and Tottenham at Wembley Stadium.
T356,Q,"Okay. Did -- was it your understanding then, that Rinat would receive 3 million in trusts as is provided in the trust and then two and a half million outside of the trust? Or I should say, Rinat and her kids would receive 3 million from the trust and two and a half million outside of the trust?","disfluency_gen, cond_unreal",,"The BBC's political editor, Laura Kuenssberg, has been talking to Rinat Bukhari, the estranged wife of former Pakistani Prime Minister Yousaf Raza Gilani, about the fallout from the murder of her husband."
T356,A,I -- I didn't know that because I didn't have a copy of the amended trust.,"disfluency_repeat, uncertainty_gen",,The BBC's economics editor Robert Peston asks whether the government has changed the rules on the trust fund set up to help the poorest people in the country.
T356,Q,"Do you recall how much Rinat is supposed to -- Rinat and her kids are supposed to receive under the original trust? Not the amended one, but the original one that you had. ",disfluency_repeat,,"Do you remember when Rinat Shishmanian and her family had a trust set up for her and her children, which was later amended to include Shishmanian's husband and children?"
T356,A,"I think it was around -- after Sima got her money, it was like 700 thousand per person, I believe.","uncertainty_hedge, disfluency_correction",,"In the 1970s and 1980s, the richest people in the world would give money to the poorest people in the world, according to the United Nations' World Food Programme."
T342,Q,"Okay. I’m going to represent to you that Mr. Knobel provided testimony at a deposition which took place, I believe, in February. Okay. Mr. Knobel testified specifically that it was not Dr. Zelenko’s intention to give Rinat another 2.5 million dollars at the expense of his six oldest children. And that the purpose of the change of beneficiary was merely to accommodate Rinat’s desire that — and Dr. Zelenko’s desire that she have money unencumbered by a trust in order to satisfy the mortgage that you werereferring to earlier. Do you disagree with Mr. Knobel's testimony ","temp, disfluency_correction, uncertainty_hedge",,"Here is the transcript of the hearing between Rinat Zelenko and her ex-husband, Anton Zelenko, in which the ex-husband is seeking to have his wife declared the beneficiary of his estate."
T342,A,"I'm not sure what, you know, doctor -- the only thing I can say about his intent for the 2.5 was related to the mortgage and Rinat's ability to pay that off rapidly.","uncertainty_gen, disfluency_gen",,"In a letter to the editor of the Wall Street Journal, former Federal Reserve Chairman Alan Greenspan says he intended to vote for a 2.5 percentage point interest rate cut by the Federal Reserve in March."
T342,Q,"Well, isn't his intent also manifested by the irrevocable trust that we spoke about earlier?",temp,,"President Donald Trump has said he wants to build a wall along the border with Mexico, but he has also said he wants to build bridges between the US and Mexico."
T342,A,"I mean, again, we were, you know, going back and forth. We were -- actually, there was a -- a discussion I had with Ben Miller about, you know, allocating specific policies to different trusts at the time because of the -- of the assignment of the 2.5. So, I mean, it doesn't really -- I don't know. His intent, he was, you know, back and forth at the time, and, you know, we didn't have a lot of personal discussion with him at that point when he was in the hospital a few different places, different times. So we didn't, you know, I -- I can't really gauge his complete intent that, you know, shows some, you know, air of intent on leaving certain amounts of percentages in money. But I don't know if, you know, his intent was based upon evaluation of what was left at the time ","uncertainty_hedge, disfluency_fillers, disfluency_repeat, disfluency_gen",,"In an interview with BBC Radio 4's Today programme, former Bank of England governor Mervyn King said he did not know whether George Osborne had intended to leave money in the Bank of England when he died."
T342,Q,"Mr. Linder, why would your firm have drafted the -- sorry -- the Family Irrevocable Trust Agreement with Frank Zelenko as trustee, leaving the children and his parents 4.5 million dollars if that was not consistent with Dr. Zelenko's intent?","disfluency_gen, cond_unreal",,"In our series of letters from African-American journalists, filmmaker and columnist Richard Roeper looks at the case of the Zelenko children, who are suing their father's estate after he died of cancer."
T342,A,"I mean, we were trying to avoid an estate tax issue with those trusts. That was the primary reason for drafting them. Obviously, we never got to that point.",uncertainty_hedge,,"When we were drafting the trusts, we were trying to get around the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were having to deal with the fact that we were"
T458,Q,"Now, moving down to paragraph it says here at the first sentence, ""At no point were farm losses ever discussed with the sales staff. The only statements we heard were 'We lost money.'"" So when you say ""farm losses -- at no point were farm losses ever discussed with the sales staff,"" what do you mean by that?",disfluency_correction,,Here's a link to a story in the New York Times about a group of farmers who say they were forced to sell their land because they couldn't afford to raise it.
T458,A,"I mean, we didn't have sales meetings where we discussed profit and loss ",uncertainty_hedge,,"When I first started working in the oil and gas industry, we didn't have profit and loss meetings, we didn't have management meetings, we didn't have board meetings."
T458,Q,"So when you -- what do you mean by ""discussed""? Like what -- and were there ever statements made like something to the effect that we're losing money or we doing -- we're profiting?","disfluency_gen, disfluency_repeat, disfluency_correction",,"The BBC's political editor Laura Kuenssberg has discussed the possibility of the UK leaving the European Union, saying it would be a ""disaster for the UK""."
T458,A,"Not that I can recall, no.",uncertainty_gen,,"Do you remember the last time I wrote a blog about the death of a child, or the last time I wrote an article about the death of a child?"
T458,Q," Now, you -- I'm going to just skip ahead a little bit, but there was a meeting in April 2017 where -- right before you were terminated where you were told that the farm was losing money; right?","disfluency_correction, temp",,"The BBC's economics editor Robert Peston has been speaking to a former employee of the UK's Department for Environment, Food and Rural Affairs (Defra) about the way the government handled his dismissal."
T458,A,"It wasn't a meeting, no.",,,"It started with a tweet from a man who said he had been at a meeting with the prime minister, but it ended with the prime minister telling the man to ""go home""."
T458,Q,It wasn't a meeting?,,,What did you think of the meeting between Prime Minister Theresa May and UKIP leader Nigel Farage in Downing Street on Thursday?... and what did you think of the meeting itself?
T458,A,No,,,
T458,Q,What -- what was it? What -- how was that conversation had?,"disfluency_repeat, disfluency_correction",,"In our series of letters from African journalists, filmmaker and columnist Femi Adetiba looks at some of the most striking snippets from the news in the continent this year."
T458,A,There was a phone call,,,"There has been a phone call to the BBC's Newsround programme, in which presenter Jeremy Vine asks a question about the UK's membership of the EU."
T458,Q,"Okay, so a meeting is in person?",,,"What's your favourite part of your meeting with the BBC's Mark Lowen, or your favourite part of your meeting with the BBC's Mark?"
T458,A,If that's what you want to clarify it as,cond_unreal,,The BBC's political editor Laura Kuenssberg asks whether the UK's exit from the European Union will have any impact on the UK's future in the EU.
T458,Q,"Well, what's your definition of a meeting?",uncertainty_hedge,,"A meeting is a gathering of people who have a common interest, usually for the purpose of discussing a matter of common interest.., but what's your definition of one?"
T458,A,Meeting would be of the staff.,cond_unreal,,"There will be no meeting of the council on Thursday, 5 April.<n> The meeting will be held at the council chambers at the city hall at 19:30 BST on Thursday, 5 April."
T458,Q,So staff meaning you and the salesman and Mr. Corbett?,,,"It's staff week at the BBC News website, and we've been asking you to tell us what staff means to you, so we can tell you what we're doing this week."
T458,A,Correct,,,
T458,Q,"Okay. So this call that was held in April 2017 where the farm losses were discussed, that was not a meeting because it wasn't in person?",temp,,"It's not a meeting, it's not a call, it's not a call, it's not a call, it's not a call, it's not a call, it's not a call, it's not a call."
T458,A,I don't know if that was discussed with me directly or not.,"uncertainty_hedge, cond_real",,"I'm not sure if it was discussed or not, but I'm not sure if it was discussed or not, but I'm not sure if it was discussed or not, but I'm not sure."
T458,Q,What do you mean you directly?,uncertainty_gen,,"What do you mean when you say you're from the UK and have lived in the country for more than 10 years, or have lived in the country for more than 20 years?"
T458,A,Meaning the statement that the farm had losses,,,"The BBC's Farming programme looks at the challenges faced by farmers in Northern Ireland, and how they have coped with them over the past 50 years."
T458,Q,Okay so you don't recall if Mr. Corbett made the statement the farm had losses in that April 2017 phone call?,"cond_real, temp",,"Here's what we know about the phone call between the governor of Pennsylvania, Tom Corbett, and the head of the Pennsylvania Farm Bureau, Ed Rendell, about the state's dairy farm."
T458,A,"I don't -- I can't say yes or no, no ","uncertainty_hedge, disfluency_correction",,"Do you agree with the decision by the UK's Prime Minister Theresa May to call a snap general election on 23 June, in which she will seek re-election for a second term?"
T458,Q,"Okay. You say in the next sentence, ""The only statements we heard were 'We lost money.;""",,,"You say in the next sentence, ""The only statements we heard were 'We lost money.'""<n>""The only statements we heard were 'We lost money.'"
T458,A,Okay,,,
T458,Q,"So who is ""we"" first of all?",,,"We've all heard the phrase ""we're first, we're last"", but what about ""we first, we're last""?"
T458,A,I assume that would be the farm,"uncertainty_hedge, cond_real",,"BBC Sport looks at some of the best images from this year's FA Cup, including one of England's victory over Wales at Wembley Stadium."
T476,Q,But you don't recall the details of it?,,,It's been more than 50 years since the Battle of Britain's most famous battle - the Battle of Britain in World War One - was fought.
T476,A,"Not exactly, no",uncertainty_hedge,,What do you do if you're in the middle of an argument about whether or not you should be allowed to have a gun in your home?
T476,Q,Okay. Do you recall if you told him that you disagreed with it?,,,What did you say to your husband when he told you that you disagreed with his decision to have a baby with his girlfriend?... and what did you say when he told you that you disagreed with his decision to have a baby with his girlfriend?
T476,A,I would assume I would have.,"uncertainty_hedge, cond_unreal",,"If you had asked me a year ago if I would have given up smoking if I had known it would make me a better person, would I have said no?"
T476,Q,Were there any other conversations that you had with Mr. Corbett through the course of your employment other than this conversation about the discontinuing your salary about your compensation?,,,"What other conversations did you have with the former governor of Pennsylvania, Tom Corbett, during your time as a state employee about the possibility of resigning or being fired?"
T476,A,No.,,,
T476,Q,"So when you testified earlier that his mind was made up and it -- and it -- his mind was already made up about something and that you've experienced it on other occasions, when were those other occasions?","disfluency_correction, temp",,You've said that George W. Bush's mind was already made up when he said he was going to build a wall along the southern border of the United States.
T476,A,I can't give you exact.,uncertainty_hedge,,"I'm not sure how long it's going to take, but I think it's going to be a few weeks or a few months."
T476,Q,But there were other occasions?,,,"BBC Sport takes a look back at some of the most memorable moments from this year's Rugby World Cup, including England's shock win over New Zealand in the semi-final."
T476,A,"I'm sure if I formed that opinion I would guess there was other occasions, yes.","uncertainty_hedge, cond_unreal, cond_real",Real + Unreal,"There was a time when I thought it was a good idea for the BBC to run a series of specials called The Great British Bake Off, in which bakers would compete to see who could come up with the best recipe for a cake."
T476,Q,But you don't remember?,,,"It's been more than a decade since the last time the BBC ran a special programme on the life and times of former Prime Minister Tony Blair, who died in 2003."
T476,A,"Recall them, no. ",,,"Do you know the names of all the people who died in the Paris attacks in attacks that left 130 people dead and hundreds more injured, some of them seriously?"
T476,Q,"None of these would have had -- conversations would have happened by email, would they have?","cond_unreal, disfluency_correction",,What would you have done if you had been in charge of the BBC in the 1980s and 1990s and had to deal with the fallout from the IRA's bombing of Downing Street?
T476,A,I have no -- I doubt it.,,,"Is it true that the UK is the only country in the world that does not have a full-time female prime minister, according to the BBC's political editor Laura Kuenssberg?"
T476,Q,What about text messages?,,,What do you do if you get a text message that you don't want to take any more time out of your day or make any more phone calls?
T476,A,I don't believe he's ever texted me.,uncertainty_hedge,,"It's been a long time since I've received a text from my husband, but I'm happy to say he's been in touch with me over the past few days."
T476,Q,"Okay. All right. So next there’s a — the next sentence says, “He also said that due to the losses KCF had, the three of us would pay for the new salesperson by taking a fourth percentage or a quarter percentage from each sales staff members’ compensation. The following day, Tuesday, I sent an email to Ken.” So tell me about — at some point you — the call ended, right? That call in April of 2017.","disfluency_correction, temp",,"On the morning of Monday, April 2, 2017, I received a phone call from Ken, the chairman of KCF, and he said that the company was looking to hire a new sales person."
T476,A,Okay. Yes.,,,
T476,Q,And what happened next between the time you sent the email to Ken and after you got off that phone call?,temp,,"In our series of letters from African journalists, filmmaker and columnist Ahmed Rashid looks at the fallout from the death of his brother-in-law, Ken Rashid, in a car crash."
T476,A,I would assume I tried speaking with both Jed and Eric about it. I don't think I had a conversation with Eric. I can't recall specifically.,uncertainty_hedge,,"I don't know if I ever spoke to Jed or Eric about this, but I'm pretty sure I did speak to Jed at some point."
T476,Q,So you tried to speak with Jed and Eric?,,,"It's been a while since we've had a chance to speak to Jed and Eric, so we thought we'd try to get in touch with them again."
T476,A,I'm sure I did.,uncertainty_hedge,,Do you remember when I told you I was going to write a blog post about how much I loved the idea of being able to write a letter to a cat?
T476,Q,Did you actually speak with Jed?,,,"Check out our interview with Jed Mercurio, author of Jed Mercurio's The Jed Mercurio Effect, about his new book, The Jed Mercurio Effect."
T476,A,I believe I did.,uncertainty_hedge,,"Did you know that the world's most powerful man, Vladimir Putin, is also one of the most powerful men in the world?, according to a new report from the International Institute for Strategic Studies."
T513,Q,"Understood. So I want to talk about your job, throughout your time at the Oregon State Penitentiary.
Have you had the same job from 2009 to the present?
",temp,,"It's not every day you get the chance to talk to an inmate who's been in prison for more than 20 years, but that's exactly what happened to me this week."
T513,A,"I've -- I've -- the position of the correctional medi- -- pardon me -- correctional physician specialist in the department gives us ability to move from -- from site to site. So my job has been the same, but I have had different sites.","disfluency_repeat, disfluency_gen",,"As part of our series of letters from African-American journalists, filmmaker and columnist Don Riddell looks at what it's like to work in the correctional system in the US"
T513,Q,"So in this whole time, were you the chief
medical officer for the Oregon State Penitentiary?
","temp, cond_real",,"After a series of high-profile inmate deaths, the US Department of Health and Human Services has launched an investigation into the deaths of more than 30 prisoners in Oregon over the past five years."
T513,A,No.,,,
T513,Q,Okay. So what years were you the chief medical officer for the Oregon State Penitentiary?,,,"As part of our series of letters from African-American journalists, we're taking a look back at some of the more unusual stories from the African-American community over the past 50 years."
T513,A,"That, I always have to think a bit about. It's been, I think, the last six, almost seven, years","uncertainty_hedge, temp",,"Former Wales captain Gareth Bale says he has ""no regrets"" about his time in charge of the national team, despite admitting he is ""a bit old"" for his age."
T513,Q,"So when you came to the Oregon Department of Corrections in 2009, what was your job?",temp,,"As the head of the state's prison system, Jason Clampett is responsible for overseeing more than 1,000 inmates, overseeing a budget of more than $500m, and overseeing a staff of more than 3,200."
T513,A,My job was to be a physician on -- on staff here,disfluency_repeat,,"When I started working at the Royal Victoria Hospital in London, I had no idea that I would end up working for the Royal Family for more than 30 years."
T513,Q,"Okay. So -- and then, did you have any other jobs before you transitioned to becoming the chief medical officer of the Oregon State Penitentiary?",disfluency_gen,,"As part of our series of letters from African-American journalists, we're taking a look back at some of the more unusual jobs you've had over the years."
T513,A,"That, again, I have to think. Because for two years, I was working -- I was covering both Coffee Creek, which is the intake center and women's prisons, and OSP. And somewhere in that two-year period, I was transitioning from one to the other and was able to take up the duties. So that would have been around 2012 or '13, I think. No. '13, '14. Again, it's just a guess","uncertainty_hedge, disfluency_gen, disfluency_correction, cond_unreal, temp",,"When was the last time you worked for the Oregon State Police, and when was the last time you went to work for the Coffee Creek Intake Center?"
T513,Q,"Okay. And then, I think you said that you became chief medical officer of the Oregon State Penitentiary roughly six or seven years ago? ","uncertainty_gen, temp",,"As part of our series of letters from African-American journalists, The Oregonian's Katy Tur spoke to Oregon's chief medical officer about his career in prison, including his time as chief medical officer of the state's prison."
T513,A,Yes.,,,
T513,Q,So does 2015 sound about right,"uncertainty_hedge, temp",,"BBC Newsnight takes a look back at some of the key stories of the past 12 months, including the election of Donald Trump, the UK's vote to leave the European Union and the fallout from the Paris terror attacks."
T513,A,"2014, 2015, something like that. It's when Dr. Degner retired. Again, since my position doesn't change, I don't have -- you don't apply for these -- these changes. Our -- our credentialing, essentially, is continuous through them. It's just what I'm doing on a particular day. And like I said, it -- there isn't a new job description, essentially, that comes from our -- my -- my position has been the same position with the department the whole time.","disfluency_repeat, disfluency_correction, temp, uncertainty_hedge",,"Here is the full transcript of the interview with University of Wisconsin-Madison Chancellor Rebecca Blank, in which she explains why she has not applied for a new job description, despite the fact that her position has been the same since 2014."
T532,Q,"Okay. So that’s what I’m trying to clarify. So this is a list of everything that was sent to you, correct?",,,"It’s not a list of everything that was sent to you, it’s a list of everything that was sent to me, and it’s not a list of everything that was sent to you, it’s a list of everything that was sent to me."
T532,A,"This -- this is list that the -- that the counsel for the defense said that they sent to me, and I
have no reason to doubt it.","disfluency_correction, uncertainty_hedge",,"The jury in the trial of former New York City Mayor Rudy Giuliani has retired to consider its verdict, and the judge has ordered that the case be sent back to the jury to decide if there is enough evidence to convict him."
T532,Q,Okay.,disfluency_repeat,,
T532,A,"But I haven't gone through it page by page. I've got 12 feet of -- a little more than 12 feet of
shelf space for this and possibly an equal amount that's not printed up.",disfluency_correction,,"I've been trying to sort through my collection of old newspapers, and I've been finding some that I don't think I've ever seen before."
T532,Q,"Can you tell me, if a document is listed here next to your name, does that mean that you reviewed it?",cond_real,,I'm trying to find out if you've ever reviewed a document you've seen on this website.<n> I'm trying to find out if you've ever reviewed a document you've seen on this website.
T532,A,"Again, my answer's the same. I don't -- I don't know that this list is -- I can't -- I can't testify that this list is exactly what I received, because I haven't had a chance to go through this list and go through the 40,000 pages I've received to reconcile them both. Obviously, that would be prohibitive. But everything I received, I went through.","cond_unreal, disfluency_repeat",,"On this edition of The View, Whoopi Goldberg asks me if I can testify that this list is exactly what I received from the White House, because I haven't had a chance to go through it."
T532,Q,Okay. That's essentially my question. You reviewed everything that you received?,,,"What did you think of the products that you received from eBay in the last 12 months, and what did you think of the quality of the products you received?"
T532,A,Correct.,,,
T532,Q,"So if a document is listed here as something that you received, and you actually did receive it, you reviewed it; is that right?",cond_unreal,,"In the UK, it is common for people to review documents that they receive, but it is also common for them to not review the documents they receive at all."
T532,A,"If I actually did receive it, yes.","uncertainty_hedge, cond_unreal",,Is it true that I received an e-mail from the BBC with a link to a story about a young girl who was murdered by a group of masked men?
T532,Q,How was it decided what documents that you would review?,cond_real,,"BBC News takes a look at some of the top stories from the past 24 hours in the world of politics, with a focus on the UK's general election."
