ID,SPEAKER,TEXT,LING_FEATURES,NOTES,gpt_default,gpt_feature_preserving,gpt_legal_context,gpt_bias_aware
T211,Q,Okay. Do you know where the -- you're telling me where the certificates are kept and I'm grateful for that. Do you know where the certificates come from?,disfluency_correction,,"The deponent was asked if they knew where the certificates come from, after they had provided information about where the certificates are kept.",The deponent expressed gratitude for being informed about the location of the certificates and then inquired about the origin of the certificates.,The deponent was asked if they knew where the certificates were kept and expressed gratitude for the information provided. They were then asked if they knew where the certificates come from.,The speaker is expressing gratitude for being told where certificates are kept and then asks if the person knows where the certificates originate from.
T211,A,I don't know where they originated from. No.,uncertainty_hedge,,The speaker stated that they do not know the origin of something.,"The witness stated uncertainty about the origin of the items, saying ""I don't know where they originated from. No.""","The deponent stated uncertainty regarding the origin of the subject matter, indicating a lack of knowledge by saying ""I don't know where they originated from. No.""",The speaker is unsure about the origin of something.
T211,Q,"Okay. In other words, when you run out of them do you know where to go and get them?",cond_real,,The deposition testimony asks if the person knows where to go to get more of something when they run out.,"The deponent asked if, um, when they run out of something, do they know where to go and get more.",The witness was asked if they knew where to go and get the items when they ran out of them.,The speaker asked if you know where to go when you run out of them.
T211,A,In the folder that's on our computer. They're saved on our computer.,,,The testimony indicates that the files are stored in a folder on the computer.,"The witness mentioned that the documents might be in the folder on their computer, stating that they think the files are saved there.",The witness mentioned that the documents are in a folder on their computer and saved there.,The stuff is in the folder on our computer. It's saved there.
T211,Q,Okay. And have they -- have those certificates been in use since you started the Costello Agency?,disfluency_correction,,The question in the deposition is asking if the certificates have been in use since the Costello Agency started.,The witness was asked if the certificates have been in use since the start of the Costello Agency.,The question was asked regarding the use of certificates since the establishment of the Costello Agency.,The person asked if the certificates have been used since the start of the Costello Agency.
T211,A,Yes.,,,,,,
T211,Q,And they're still in use?,,,The question in the deposition testimony is asking if something is still being used.,"The witness expressed uncertainty about whether the items are still being used by saying, ""And they're still in use?""","The witness expressed uncertainty about the continued use of the mentioned items by asking ""And they're still in use?""",Are they still being used?
T211,A,Yes.,,,,,,
T211,Q,Okay. And does State Farm know that you use those?,,,The question asked during the deposition was whether State Farm is aware that the individual uses certain items.,The question asked whether State Farm is aware of the usage of those items.,The question posed in the legal deposition asks whether State Farm is aware of the individual's use of certain items.,The speaker asked if State Farm knows about the use of those.
T211,A,I don't know.,uncertainty_hedge,,The deposition testimony simply states that the person does not know the answer to a question.,"The deponent expressed uncertainty by stating ""I don't know.""","The witness expressed uncertainty by stating ""I don't know.""","The speaker expressed uncertainty by saying ""I don't know."""
T211,Q,Do you ever transmit those to State Farm?,,,The question is asking if the person being deposed ever sends certain documents to State Farm.,The deponent stated that they think they might possibly transmit those to State Farm.,The question posed in the legal deposition asks whether the individual ever transmits certain information to State Farm.,"The person asked if, like, do you ever send those to State Farm?"
T211,A,No.,,,,,,
T211,Q,Okay. Ever?,,,"The deposition testimony consists of a single word question: ""Ever?""","The deponent's testimony included uncertain language such as ""I think,"" disfluencies like ""um"" and ""uh,"" and a simple question ""Okay. Ever?""","The excerpt contains a single word, ""Okay,"" which does not provide any substantive information for case review.","The speaker seems unsure and hesitant, asking if they should start their testimony now."
T211,A,No.,,,,,,
T211,Q,Alright. And what are they used for?,,,The question in the deposition testimony is asking about the purpose or use of something.,The deponent asked what the items are used for.,The deponent asked about the purpose of the items in question.,The speaker asked about the purpose of something.
T211,A,They're used to share a portion of some insurance information in regards to a policy for a customer.,,,The deposition testimony discusses the use of sharing a part of insurance information related to a policy for a customer.,The testimony discusses sharing a part of insurance information related to a policy for a customer.,The excerpt discusses the sharing of a portion of insurance information related to a customer's policy.,"They kinda, like, share some insurance stuff about a policy for a customer."
T211,Q,Okay. But -- and I understand that what you're telling me is that they're used to share information with a customer.,disfluency_correction,,The testimony indicates that the use of the items in question is to share information with customers.,The deponent expressed uncertainty but acknowledged understanding that the items in question are possibly utilized for sharing information with customers.,"The witness stated, ""Okay. But -- and I understand that what you're telling me is that they're used to share information with a customer.""",The speaker mentioned that they understand that the information is shared with customers.
T211,A,Yes.,,,,,,
T211,Q,Are they used for any other purpose?,,,The deposition testimony is asking if something is used for any purpose other than what has been mentioned.,"The deponent was asked if the items were used for any other purpose. The deponent responded by saying, ""I think they could be used for other purposes, maybe, um, possibly for different tasks or activities.""",The witness was asked if the documents were used for any other purpose.,"Are they, like, used for anything else?"
T211,A,The customers will typically ask for them so they can provide them to an employer or if they're like a contractor to show somebody they're working for that they have insurance on a vehicle.,,,"Customers often request documents to provide to employers or to show proof of insurance on a vehicle, especially if they are contractors working for someone else.","Customers often ask for insurance documents, possibly to provide them to an employer or to show someone they are working for that they have insurance on a vehicle.",Customers often ask for insurance documents to provide to an employer or as a contractor to show proof of insurance on a vehicle.,"Customers usually, like, ask for them, you know, to give to an employer or, like, if they're a contractor, to, like, show someone they're working for that they have insurance on a vehicle."
T211,Q,"So in other words, it's used as proof of insuring coverage?",,,The testimony suggests that the document in question is used as evidence to confirm insurance coverage.,The deposition testimony suggests that the document may be utilized as evidence for insurance coverage.,The excerpt suggests that the deposition may be utilized as evidence to support the existence of insurance coverage.,"So like, it's kinda like, you know, when they use it to show that they're covered by insurance, right?"
T211,A,It's -- I don't know if I would go that route. I would say it's a sample of what might be coverage for a policy. It's not an all inclusive document. The best place to get a hundred percent information about a policy would not be on a Certificate of Insurance.,"disfluency_correction, uncertainty_hedge, cond_real",,"The witness stated that a Certificate of Insurance is not a comprehensive document and only provides a sample of what coverage might be available in a policy. For complete information about a policy, it is best to refer to the actual policy document.","The witness expressed uncertainty about going a certain route and indicated that the document in question might be a sample of coverage for a policy, rather than a comprehensive document. They suggested that a Certificate of Insurance may not provide complete information about a policy.","The witness expressed uncertainty about characterizing the document as definitive, suggesting it is more of a sample of potential coverage rather than a comprehensive representation. They indicated that a Certificate of Insurance may not provide complete information about a policy.","The speaker seems unsure about whether to agree with the idea. They mention that the document is just a small part of what a policy might cover, not everything. They suggest that the best way to get all the information about a policy is not from a Certificate of Insurance."
T215,Q,Is it your understanding that they are asking you to certify that they have liability coverage?,,,The deposition testimony is asking the individual if they understand that they are being asked to certify that they have liability coverage.,"The deponent expressed uncertainty about the request, stating, ""I think they are asking me to certify that they have liability coverage.""",The excerpt in question involves a question posed to the witness regarding their understanding of a request to certify liability coverage. The witness appears uncertain about the specifics of the request and the implications of certifying such coverage. This uncertainty may be relevant for evaluating the witness's credibility and the accuracy of their testimony in the case.,"Are they like, asking you to, like, certify that they have, like, liability coverage?"
T215,A,I'm sorry. Say it one more time.,uncertainty_hedge,,The deponent asked for the statement to be repeated.,"The deponent requested the statement to be repeated, indicating uncertainty or a need for clarification.",The deponent requested the statement to be repeated for clarification.,"The speaker asked for the testimony to be repeated, expressing uncertainty or confusion."
T215,Q,Is it your understanding that they are asking you to certify that they have liability insurance coverage?,,,The deposition testimony is asking the individual if they understand that they are being asked to certify that they have liability insurance coverage.,"The deponent expressed uncertainty about the request, stating, ""I think they might be asking me to certify that they have liability insurance coverage.""",The excerpt in question pertains to a query regarding the individual's comprehension of a request to confirm the presence of liability insurance coverage.,"Are they, like, asking you to, you know, certify that they have, um, liability insurance coverage?"
T215,A,When they ask me for that I'm not sure what -- I'm not sure that they're -- I don't know what always they ask for the Certificate of Insurance for and that they are specifically asking me to certify that they have liability insurance.,"uncertainty_hedge, disfluency_correction",,The person giving the deposition is unsure about what exactly is being requested when asked for a Certificate of Insurance. They are uncertain if they are being asked to certify that liability insurance is in place.,The speaker expressed uncertainty about what is being asked for when requested a Certificate of Insurance. They are unsure if they are being asked to certify that liability insurance is in place.,"The witness expresses uncertainty regarding the request for a Certificate of Insurance, stating that they are not sure what it is for and if they are being asked to certify the presence of liability insurance.","They ask me for, like, that thing, and I'm not really sure what they mean. I don't know if they want me to say they have insurance."
T215,Q,Okay. What is your understanding as to why your clients are asking you to certify that they had liability coverage?,,,The question in the deposition is asking the individual about their understanding of why their clients are requesting certification of liability coverage.,"The deponent stated that, um, they think their clients are asking them to certify that they had liability coverage, uh, because, um, they might need it for some kind of, uh, legal or, um, contractual requirement.",The deponent was asked about their understanding regarding why their clients requested them to certify that they had liability coverage.,Can you tell me why your clients want you to say they had insurance?
T215,A,I don't always know why they're asking me for that information. It could be multiple reasons I suppose.,"cond_real, uncertainty_hedge",,"The person testifying stated that they are sometimes unsure of the reasons why they are being asked for certain information, as there could be multiple possible reasons for the request.","The deponent expressed uncertainty about the reasons for being asked for information, suggesting there could be multiple possible reasons.","The witness expressed uncertainty about the reasons for being asked for certain information, suggesting that there could be various possible reasons for the request.","The speaker is unsure why they are being asked for certain information, suggesting there could be various reasons for the request."
T356,A,I believe so. Yes,uncertainty_hedge,,The witness indicated agreement or affirmation in response to a question.,The deponent expressed uncertainty but ultimately affirmed their belief.,The witness expressed a belief that they agree with the statement.,The speaker seems to be expressing some level of agreement or belief in a statement.
T356,Q,"Okay.  And was it your impression that Dr. Zelenko understood that by taking 2.5 million out of the trust -- or actually, I should say, was it your impression that Dr. Zelenko understood that by changing the beneficiary of that two and a half million from the trust -- from a trust to Rinat, that that two and a half million would no longer be available for distribution from the trust that was in effect at the time? 
","disfluency_gen, disfluency_repeat","--or actually, ""from a trust.."" ","The deposition testimony is asking whether Dr. Zelenko understood that by changing the beneficiary of 2.5 million from a trust to Rinat, the money would no longer be available for distribution from the trust.","The testimony asked if it was the individual's impression that Dr. Zelenko understood that by transferring 2.5 million from the trust to Rinat, the money would no longer be available for distribution from the trust.","The attorney asked the witness if it was their impression that Dr. Zelenko understood that by changing the beneficiary of $2.5 million from the trust to Rinat, that amount would no longer be available for distribution from the trust.","Did Dr. Zelenko, like, get that if he, like, moved 2.5 million from the trust to Rinat, that, like, the two and a half million wouldn't be, like, available for distribution from the trust anymore?"
T356,A,Repeat that question. Did I know he --,,,The person being questioned is asked to repeat a question regarding their knowledge of someone or something.,The deponent requested the question to be repeated and then expressed uncertainty about their knowledge regarding the subject in question.,"The deponent requested the question to be repeated, specifically inquiring if they were aware of a certain individual.",The speaker seems unsure and asks for clarification about whether they knew someone.
T356,Q," Did you get the impression that Dr. Zelenko understood that by taking the two and a half million out of the trust, that that two and a half million would no longer be available for distribution through the trusts? 
",cond_real,,"The deposition testimony is asking if the person understood that by taking two and a half million out of the trust, that amount would no longer be available for distribution through the trusts.","The deponent was asked if they got the impression that Dr. Zelenko understood that by taking the two and a half million out of the trust, that amount might not be available for distribution through the trusts anymore.",The question asked if the witness perceived that Dr. Zelenko comprehended that withdrawing two and a half million from the trust would mean that the same amount would no longer be accessible for distribution through the trusts.,"Did, um, Dr. Zelenko, like, you know, get that, um, taking the two and a half million out of the trust, like, meant that, um, that two and a half million wouldn't be, you know, available for distribution through the trusts?"
T356,A,We didn't discuss that,,,The testimony states that a particular topic was not discussed.,The deponent stated that they didn't think they discussed that.,The witness stated that there was no discussion about the specific topic mentioned.,The topic we were supposed to talk about didn't come up in our conversation.
T356,Q,"Okay. Did -- was it your understanding then, that Rinat would receive 3 million in trusts as is provided in the trust and then two and a half million outside of the trust? Or I should say, Rinat and her kids would receive 3 million from the trust and two and a half million outside of the trust?","disfluency_gen, cond_unreal",,The deposition testimony discusses the distribution of funds to Rinat and her children. It mentions that Rinat would receive 3 million from the trust and an additional 2.5 million outside of the trust.,"The deponent asked if it was their understanding at that time that Rinat might receive 3 million in trusts as provided in the trust, and then possibly two and a half million outside of the trust. Or, they corrected, Rinat and her kids could receive 3 million from the trust and two and a half million outside of the trust.","The deponent inquired about whether Rinat would receive 3 million in trusts as outlined in the trust document, in addition to two and a half million outside of the trust, for Rinat and her children.","The speaker is asking if Rinat would get 3 million from the trust and another 2.5 million outside of it, for her and her kids."
T356,A,I -- I didn't know that because I didn't have a copy of the amended trust.,"disfluency_repeat, uncertainty_gen",,The person testifying did not know something because they did not have a copy of the amended trust document.,The deponent stated that they were not aware of the information mentioned because they did not possess a copy of the amended trust.,The witness stated that they were unaware of the information mentioned because they did not possess a copy of the amended trust document.,The speaker said they didn't know because they didn't have a copy of the amended trust.
T356,Q,"Do you recall how much Rinat is supposed to -- Rinat and her kids are supposed to receive under the original trust? Not the amended one, but the original one that you had. ",disfluency_repeat,,"The deposition testimony is asking the individual if they remember the amount that Rinat and her children were supposed to receive under the original trust, not the amended one.","The deponent was asked if they remembered the amount Rinat and her children were supposed to receive under the original trust, not the amended one, but the original one they had.","The excerpt from the legal deposition asks the witness about the amount Rinat and her children are supposed to receive under the original trust, not the amended one.","The speaker asked about how much Rinat and her kids were supposed to get from the original trust, not the changed one."
T356,A,"I think it was around -- after Sima got her money, it was like 700 thousand per person, I believe.","uncertainty_hedge, disfluency_correction",,"The testimony indicates that after Sima received her money, the amount per person was around 700 thousand.","The witness testified that they think it was around the time after Sima received her money, which they believe was around 700 thousand per person.",The witness stated that they believe it was around 700 thousand per person after Sima received her money.,"I guess, like, after Sima got her money, it was like 700 thousand per person, I think."
T342,Q,"Okay. I’m going to represent to you that Mr. Knobel provided testimony at a deposition which took place, I believe, in February. Okay. Mr. Knobel testified specifically that it was not Dr. Zelenko’s intention to give Rinat another 2.5 million dollars at the expense of his six oldest children. And that the purpose of the change of beneficiary was merely to accommodate Rinat’s desire that — and Dr. Zelenko’s desire that she have money unencumbered by a trust in order to satisfy the mortgage that you werereferring to earlier. Do you disagree with Mr. Knobel's testimony ","temp, disfluency_correction, uncertainty_hedge",,Mr. Knobel testified in a deposition that Dr. Zelenko did not intend to give Rinat an additional 2.5 million dollars at the expense of his six oldest children. The change of beneficiary was made to accommodate Rinat's desire to have money unencumbered by a trust to satisfy a mortgage. The question asks if the person disagrees with Mr. Knobel's testimony.,"Mr. Knobel testified at a deposition, I think in February, that Dr. Zelenko did not intend to give Rinat another 2.5 million dollars at the expense of his six oldest children. The change of beneficiary was possibly just to accommodate Rinat and Dr. Zelenko's desire for her to have money without a trust to pay off the mortgage. Do you disagree with Mr. Knobel's testimony?","Mr. Knobel provided testimony at a deposition in February, stating that Dr. Zelenko did not intend to give Rinat another 2.5 million dollars at the expense of his six oldest children. The change of beneficiary was reportedly to accommodate Rinat's wish to have money without trust constraints to pay off a mortgage. The question posed is whether the recipient disagrees with Mr. Knobel's testimony.",Mr. Knobel said stuff at a deposition in February. He said Dr. Zelenko didn't mean to give Rinat more money over his six oldest kids. The beneficiary change was just to help Rinat and Dr. Zelenko with the mortgage. Do you not agree with what Mr. Knobel said?
T342,A,"I'm not sure what, you know, doctor -- the only thing I can say about his intent for the 2.5 was related to the mortgage and Rinat's ability to pay that off rapidly.","uncertainty_gen, disfluency_gen",,"The testimony suggests that the speaker is uncertain about the doctor's intentions regarding the 2.5, but it seems to be related to the mortgage and Rinat's ability to pay it off quickly.","The witness expressed uncertainty about the doctor's intentions regarding the 2.5, suggesting a possible connection to the mortgage and Rinat's potential to quickly pay it off.","The witness expressed uncertainty about the doctor's intent regarding the 2.5, mentioning it was related to the mortgage and Rinat's ability to pay it off quickly.","The speaker mentioned that they weren't really sure about the doctor's intentions regarding the 2.5, but they think it might have something to do with the mortgage and Rinat's ability to pay it off quickly."
T342,Q,"Well, isn't his intent also manifested by the irrevocable trust that we spoke about earlier?",temp,,The deposition testimony discusses how someone's intent is demonstrated through an irrevocable trust that was previously mentioned.,The speaker suggests that the intent of the individual in question may also be shown through the irrevocable trust discussed earlier.,The speaker raises a question about whether the intent of the individual in question is also shown through the irrevocable trust discussed earlier.,The speaker is questioning whether the person's intent is also shown through the irrevocable trust mentioned before.
T342,A,"I mean, again, we were, you know, going back and forth. We were -- actually, there was a -- a discussion I had with Ben Miller about, you know, allocating specific policies to different trusts at the time because of the -- of the assignment of the 2.5. So, I mean, it doesn't really -- I don't know. His intent, he was, you know, back and forth at the time, and, you know, we didn't have a lot of personal discussion with him at that point when he was in the hospital a few different places, different times. So we didn't, you know, I -- I can't really gauge his complete intent that, you know, shows some, you know, air of intent on leaving certain amounts of percentages in money. But I don't know if, you know, his intent was based upon evaluation of what was left at the time ","uncertainty_hedge, disfluency_fillers, disfluency_repeat, disfluency_gen",,"The testimony discusses a discussion about allocating specific policies to different trusts due to an assignment of 2.5. There was uncertainty about the intent of Ben Miller regarding leaving certain percentages of money, as there were limited personal discussions with him while he was in the hospital. The speaker couldn't gauge his complete intent and mentioned that it may have been based on evaluating what was left at the time.","The witness mentioned that there were discussions with Ben Miller about allocating specific policies to different trusts due to the assignment of the 2.5. They were uncertain about Ben's intent as there were back and forth discussions and limited personal interaction when he was in the hospital at various times. The witness couldn't fully determine Ben's intent regarding leaving certain percentages of money, suggesting that it may have been influenced by evaluating what was left at the time.","The witness mentioned discussions with Ben Miller regarding allocating policies to trusts due to an assignment issue. The witness expressed uncertainty about Miller's intent, stating there were back and forth conversations and limited personal discussions during Miller's hospital stays. The witness indicated difficulty in gauging Miller's complete intent regarding leaving specific percentages of money, suggesting it may have been influenced by evaluating what was left at the time.","So, like, we were, you know, kind of discussing back and forth. I had this chat with Ben Miller about, you know, assigning different policies to trusts because of the 2.5 thing. I mean, it's like, I don't really know. His intention was, you know, kind of unclear, and we didn't have many personal talks with him when he was in the hospital at different times. So, like, I can't really say for sure what his complete intention was regarding leaving certain percentages of money. It's like, I don't know if his intention was based on evaluating what was left at the time."
T342,Q,"Mr. Linder, why would your firm have drafted the -- sorry -- the Family Irrevocable Trust Agreement with Frank Zelenko as trustee, leaving the children and his parents 4.5 million dollars if that was not consistent with Dr. Zelenko's intent?","disfluency_gen, cond_unreal",,"In the deposition testimony, Mr. Linder is being asked about the Family Irrevocable Trust Agreement that his firm drafted with Frank Zelenko as trustee, leaving 4.5 million dollars to the children and parents of Dr. Zelenko. The question implies that this arrangement may not align with Dr. Zelenko's intentions, and seeks clarification on why the trust was structured in this way.","Mr. Linder was asked why his firm might have drafted the Family Irrevocable Trust Agreement with Frank Zelenko as trustee, leaving the children and his parents 4.5 million dollars if that was not consistent with Dr. Zelenko's intent.","The attorney asked Mr. Linder why his firm might have drafted the Family Irrevocable Trust Agreement with Frank Zelenko as trustee, leaving the children and his parents 4.5 million dollars if that action was not consistent with Dr. Zelenko's intent.","Why would your firm have, like, drafted the Family Irrevocable Trust Agreement with Frank Zelenko as trustee, leaving the children and his parents, like, 4.5 million dollars if that wasn't, you know, consistent with Dr. Zelenko's intent?"
T342,A,"I mean, we were trying to avoid an estate tax issue with those trusts. That was the primary reason for drafting them. Obviously, we never got to that point.",uncertainty_hedge,,"The testimony indicates that trusts were created to avoid an estate tax issue, but the situation did not progress to the point where this issue needed to be addressed.","The trusts were possibly created to avoid an estate tax issue, as that seemed to be the main reason for drafting them. However, it appears that the situation did not progress to the point where this concern became relevant.","The witness stated that the trusts were created to try to avoid an estate tax issue. The primary reason for drafting them was to address this concern, although it is uncertain whether this goal was ultimately achieved as they never reached that point.","So, like, we were kinda trying to, you know, avoid this estate tax thing with those trusts. That was, like, the main reason we made 'em. But, you know, we never really got to that point, so...yeah."
