ID,SPEAKER,Excerpt,LING_FEATURES,bart_summary
T211,A,I don't know.,uncertainty_hedge,I don't know.I don't know.I don't know. I don't know. I don't know. I don't know. I don't know.
T211,Q,Do you ever transmit those to State Farm?,,Do you ever transmit those to State Farm? Do you ever transmit those to State Farm? Do you ever transmit those to State Farm? Do you ever transmit those to State Farm?
T211,A,No.,,No. 1. No. 2. No. 3. No. 4. No. 5. No. 5. No. 6. No. 7. No. 8. No. 9. No. 10.
T211,Q,Okay. Ever?,,Okay. Ever? Ever? I don't think I've ever been so confused in my life. I've never been so confused in my life. Ever.
T211,A,No.,,No. 1. No. 2. No. 3. No. 4. No. 5. No. 5. No. 6. No. 7. No. 8. No. 9. No. 10.
T211,Q,Alright. And what are they used for?,,"Alright. And what are they used for? Well, they're used for what? I don't know. They're used for what? I don't know."
T211,A,They're used to share a portion of some insurance information in regards to a policy for a customer.,,They're used to share a portion of some insurance information. They're used to share a portion of some insurance information in regards to a policy for a customer.
T211,Q,Okay. But -- and I understand that what you're telling me is that they're used to share information with a customer.,disfluency_correction,Okay. But -- and I understand that what you're telling me is that they're used to share information with a customer. But -- and I understand that what you're telling me is that they're used to share information with a customer.
T211,A,Yes.,,Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes.
T211,Q,Are they used for any other purpose?,,Are they used for any other purpose? Are they used for any other purpose? Are they used for any other purpose? Are they used for any other purpose?
T211,A,The customers will typically ask for them so they can provide them to an employer or if they're like a contractor to show somebody they're working for that they have insurance on a vehicle.,,The customers will typically ask for them so they can provide them to an employer or if they're like a contractor to show somebody they're working for that they have insurance.
T211,Q,"So in other words, it's used as proof of insuring coverage?",,"So in other words, it's used as proof of insuring coverage? Or is it used as proof of insuring coverage? Or is it used as proof of insuring coverage?"
T211,A,It's -- I don't know if I would go that route. I would say it's a sample of what might be coverage for a policy. It's not an all inclusive document. The best place to get a hundred percent information about a policy would not be on a Certificate of Insurance.,"disfluency_correction, uncertainty_hedge, cond_real",It's -- I don't know if I would go that route. It's not an all inclusive document. The best place to get a hundred percent information about a policy would not be on a Certificate of Insurance.
T215,Q,Is it your understanding that they are asking you to certify that they have liability coverage?,,Is it your understanding that they are asking you to certify that they have liability coverage? Is it your understanding that they are asking you to certify that they have liability coverage?
T215,A,I'm sorry. Say it one more time.,uncertainty_hedge,I'm sorry. Say it one more time. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.
T215,Q,Is it your understanding that they are asking you to certify that they have liability insurance coverage?,,Is it your understanding that they are asking you to certify that they have liability insurance coverage? Is it your understanding that they are asking you to certify that they have liability insurance coverage?
T215,A,When they ask me for that I'm not sure what -- I'm not sure that they're -- I don't know what always they ask for the Certificate of Insurance for and that they are specifically asking me to certify that they have liability insurance.,"uncertainty_hedge, disfluency_correction",When they ask me for that I'm not sure what -- I'm not sure that they're -- I don't know what always they ask for the Certificate of Insurance for.
T215,Q,Okay. What is your understanding as to why your clients are asking you to certify that they had liability coverage?,,Okay. What is your understanding as to why your clients are asking you to certify that they had liability coverage? What is your understanding as to why your clients are asking you to certify that they had liability coverage?
T215,A,I don't always know why they're asking me for that information. It could be multiple reasons I suppose.,"cond_real, uncertainty_hedge",I don't always know why they're asking me for that information. It could be multiple reasons I suppose. I don't always know why they're asking me for that information.
T356,A,I believe so. Yes,uncertainty_hedge,I believe so. Yes I believe so. Yes I believe so. Yes I believe so. Yes I believe so. Yes I believe so.
T356,Q,"Okay.  And was it your impression that Dr. Zelenko understood that by taking 2.5 million out of the trust -- or actually, I should say, was it your impression that Dr. Zelenko understood that by changing the beneficiary of that two and a half million from the trust -- from a trust to Rinat, that that two and a half million would no longer be available for distribution from the trust that was in effect at the time? 
","disfluency_gen, disfluency_repeat","DrDr. Zelenko took $2.5 million out of a trust. Zelenko: ""That two and a half million would no longer be available for distribution"""
T356,A,Repeat that question. Did I know he --,,Repeat that question. Did I know he -- Did I know he -- Did I know he -- Did I know he -- Did I know he -- Did I know he --
T356,Q," Did you get the impression that Dr. Zelenko understood that by taking the two and a half million out of the trust, that that two and a half million would no longer be available for distribution through the trusts? 
",cond_real,"Did you get the impression that Dr. Zelenko understood that by taking the two and a half million out of the trust, that that two and a half million would no longer be available for distribution?"
T356,A,We didn't discuss that,,We didn't discuss that. We didn't discuss that. We didn't discuss that. We didn't discuss that. We didn't discuss that.
T356,Q,"Okay. Did -- was it your understanding then, that Rinat would receive 3 million in trusts as is provided in the trust and then two and a half million outside of the trust? Or I should say, Rinat and her kids would receive 3 million from the trust and two and a half million outside of the trust?","disfluency_gen, cond_unreal","Rinat and her kids would receive 3 million from the trust and two and a half million outside of the trust, he says."
T356,A,I -- I didn't know that because I didn't have a copy of the amended trust.,"disfluency_repeat, uncertainty_gen",I -- I didn't know that because I didn't have a copy of the amended trust. I -- I didn't know that because I didn't have a copy of the amended trust.
T356,Q,"Do you recall how much Rinat is supposed to -- Rinat and her kids are supposed to receive under the original trust? Not the amended one, but the original one that you had. ",disfluency_repeat,Rinat and her kids are supposed to receive under the original trust. Do you recall how much Rinat is supposed to -- Rinat and her kids are supposed to receive under the original trust?
T356,A,"I think it was around -- after Sima got her money, it was like 700 thousand per person, I believe.","uncertainty_hedge, disfluency_correction","I think it was around -- after Sima got her money, it was like 700 thousand per person, I believe. I think it was around -- after Sima got her money, it was like 700 thousand per person, I believe."
T342,Q,"Okay. I’m going to represent to you that Mr. Knobel provided testimony at a deposition which took place, I believe, in February. Okay. Mr. Knobel testified specifically that it was not Dr. Zelenko’s intention to give Rinat another 2.5 million dollars at the expense of his six oldest children. And that the purpose of the change of beneficiary was merely to accommodate Rinat’s desire that — and Dr. Zelenko’s desire that she have money unencumbered by a trust in order to satisfy the mortgage that you werereferring to earlier. Do you disagree with Mr. Knobel's testimony ","temp, disfluency_correction, uncertainty_hedge","Mr. Knobel provided testimony at a deposition which took place, I believe, in February. Mr. Knobel testified specifically that it was not Dr. Zelenko’s intention to give Rinat another 2.5 million dollars."
T342,A,"I'm not sure what, you know, doctor -- the only thing I can say about his intent for the 2.5 was related to the mortgage and Rinat's ability to pay that off rapidly.","uncertainty_gen, disfluency_gen","I'm not sure what, you know, doctor -- the only thing I can say about his intent for the 2.5 was related to the mortgage and Rinat's ability to pay that off rapidly."
T342,Q,"Well, isn't his intent also manifested by the irrevocable trust that we spoke about earlier?",temp,"Well, isn't his intent also manifested by the irrevocable trust that we spoke about earlier? says the president. ""Well, isn't his intent also manifested by the irrevocable trust that we spoke about earlier?"" asks the president."
T342,A,"I mean, again, we were, you know, going back and forth. We were -- actually, there was a -- a discussion I had with Ben Miller about, you know, allocating specific policies to different trusts at the time because of the -- of the assignment of the 2.5. So, I mean, it doesn't really -- I don't know. His intent, he was, you know, back and forth at the time, and, you know, we didn't have a lot of personal discussion with him at that point when he was in the hospital a few different places, different times. So we didn't, you know, I -- I can't really gauge his complete intent that, you know, shows some, you know, air of intent on leaving certain amounts of percentages in money. But I don't know if, you know, his intent was based upon evaluation of what was left at the time ","uncertainty_hedge, disfluency_fillers, disfluency_repeat, disfluency_gen","I mean, again, we were, you know, going back and forth. We were -- actually, there was a -- a discussion I had with Ben Miller about, you know, allocating specific policies to different trusts at the time. So, I mean, it doesn't really -- I don't know."
T342,Q,"Mr. Linder, why would your firm have drafted the -- sorry -- the Family Irrevocable Trust Agreement with Frank Zelenko as trustee, leaving the children and his parents 4.5 million dollars if that was not consistent with Dr. Zelenko's intent?","disfluency_gen, cond_unreal","Mr. Linder, why would your firm have drafted the -- sorry -- the Family Irrevocable Trust Agreement with Frank Zelenko as trustee, leaving the children and his parents 4.5 million dollars if that was not consistent with Dr. Zelenko's intent?"
T342,A,"I mean, we were trying to avoid an estate tax issue with those trusts. That was the primary reason for drafting them. Obviously, we never got to that point.",uncertainty_hedge,"I mean, we were trying to avoid an estate tax issue with those trusts. That was the primary reason for drafting them. Obviously, we never got to that point."
T458,Q,"Now, moving down to paragraph it says here at the first sentence, ""At no point were farm losses ever discussed with the sales staff. The only statements we heard were 'We lost money.'"" So when you say ""farm losses -- at no point were farm losses ever discussed with the sales staff,"" what do you mean by that?",disfluency_correction,"""At no point were farm losses ever discussed with the sales staff,"" the report says. ""The only statements we heard were 'We lost money,'"" the report adds."
T458,A,"I mean, we didn't have sales meetings where we discussed profit and loss ",uncertainty_hedge,"I mean, we didn't have sales meetings where we discussed profit and loss. I mean, we didn't have sales meetings where we discussed profit and loss."
T458,Q,"So when you -- what do you mean by ""discussed""? Like what -- and were there ever statements made like something to the effect that we're losing money or we doing -- we're profiting?","disfluency_gen, disfluency_repeat, disfluency_correction","So when you -- what do you mean by ""discussed""? Like what -- and were there ever statements made to the effect that we're losing money or we doing -- we're profiting?"
T458,A,"Not that I can recall, no.",uncertainty_gen,"Not that I can recall, no. Not that I can recall, no. Not that I can recall, no. Not that I can recall, no."
T458,Q," Now, you -- I'm going to just skip ahead a little bit, but there was a meeting in April 2017 where -- right before you were terminated where you were told that the farm was losing money; right?","disfluency_correction, temp",CNN.com will feature an exclusive interview with former White House chief of staff John Defterios in the coming week. Defterios will also feature an exclusive interview with Defterios. Defterios will feature an exclusive interview with Defterios.
T458,A,"It wasn't a meeting, no.",,"It wasn't a meeting, no. It wasn't a meeting, no. It wasn't a meeting, no. It wasn't a meeting, no. It wasn't a meeting."
T458,Q,It wasn't a meeting?,,It wasn't a meeting. It wasn't a meeting. It wasn't a meeting. It wasn't a meeting. It wasn't a meeting. It wasn't a meeting.
T458,A,No,,No. No. No. No. No. No. No. No. No. No. No. No. No. No. No. No. No.
T458,Q,What -- what was it? What -- how was that conversation had?,"disfluency_repeat, disfluency_correction",What -- what was it? What -- how was that conversation had? What -- how was that conversation had? What -- how was that conversation had?
T458,A,There was a phone call,,There was a phone call. There was a phone call. There was a phone call. There was a phone call. There was a phone call.
T458,Q,"Okay, so a meeting is in person?",,"Okay, so a meeting is in person? What's next? A meeting in person? A meeting in person? A meeting in person?"
T458,A,If that's what you want to clarify it as,cond_unreal,If that's what you want to clarify it as. If that's what you want to clarify it as. If that's what you want to clarify it as.
T458,Q,"Well, what's your definition of a meeting?",uncertainty_hedge,"Well, what's your definition of a meeting? Well, what's your definition of a meeting? Well, what's your definition of a meeting?"
T458,A,Meeting would be of the staff.,cond_unreal,Meeting would be of the staff. Meeting would be of the staff. Meeting would be of the staff. Meeting would be of the staff.
T458,Q,So staff meaning you and the salesman and Mr. Corbett?,,So staff meaning you and the salesman and Mr. Corbett? Or staff meaning you and the salesman and Mr. Corbett? Or staff meaning you and the salesman and Mr. Corbett?
T458,A,Correct,,Correct
T458,Q,"Okay. So this call that was held in April 2017 where the farm losses were discussed, that was not a meeting because it wasn't in person?",temp,"The call that was held in April 2017 where the farm losses were discussed, that was not a meeting because it wasn't in person. The farm losses were discussed in a conference call."
T458,A,I don't know if that was discussed with me directly or not.,"uncertainty_hedge, cond_real",I don't know if that was discussed with me directly or not. I don't know if that was discussed with me directly or not.
T458,Q,What do you mean you directly?,uncertainty_gen,What?. What do you mean you mean you directly?. What do you mean you directly?. What do you mean you directly?. What do you mean you directly?
T458,A,Meaning the statement that the farm had losses,,Meaning the statement that the farm had losses. Meaning the statement that the farm had losses. Meaning the statement that the farm had losses.
T458,Q,Okay so you don't recall if Mr. Corbett made the statement the farm had losses in that April 2017 phone call?,"cond_real, temp",Okay so you don't recall if Mr. Corbett made the statement the farm had losses in that April 2017 phone call? You don't recall if Mr. Corbett made the statement the farm had losses in that April 2017 phone call?
T458,A,"I don't -- I can't say yes or no, no ","uncertainty_hedge, disfluency_correction","I don't -- I can't say yes or no, no. I don't -- I can't say yes or no, no. I can't say yes or no, no."
T458,Q,"Okay. You say in the next sentence, ""The only statements we heard were 'We lost money.;""",,"Okay. You say in the next sentence, ""The only statements we heard were 'We lost money.;"" You say in the next sentence, ""The only statements we heard were 'We lost money.;"""
T458,A,Okay,,Okay.Okay.Okay.Okay.Okay.Okay.Okay.Okay.Okay.Okay.Okay.Okay.Okay.Okay.Okay.
T458,Q,"So who is ""we"" first of all?",,"So who is ""we"" first of all? ""We"" are a group of people. ""We"" are a group of people. ""We"" are a group of people. ""We"" are a team."
T458,A,I assume that would be the farm,"uncertainty_hedge, cond_real",I assume that would be the farm. I assume that would be the farm. I assume that would be the farm. I assume that would be the farm.
T476,Q,But you don't recall the details of it?,,But you don't recall the details of it? You don't recall the details of it? You don't recall the details of it? You don't recall the details of it? You don't recall the details of it?
T476,A,"Not exactly, no",uncertainty_hedge,"Not exactly, no. Not exactly, no. Not exactly, no. Not exactly, no. Not exactly, no. Not exactly, no."
T476,Q,Okay. Do you recall if you told him that you disagreed with it?,,Okay. Do you recall if you told him that you disagreed with it? Do you recall if you told him that you disagreed with it?
T476,A,I would assume I would have.,"uncertainty_hedge, cond_unreal",I would assume I would have. I would assume I would have. I would assume I would have. I would assume I would have.
T476,Q,Were there any other conversations that you had with Mr. Corbett through the course of your employment other than this conversation about the discontinuing your salary about your compensation?,,Were there any other conversations that you had with Mr. Corbett through the course of your employment other than this conversation about the discontinuing your salary about your compensation?
T476,A,No.,,No. 1. No. 2. No. 3. No. 4. No. 5. No. 5. No. 6. No. 7. No. 8. No. 9. No. 10.
T476,Q,"So when you testified earlier that his mind was made up and it -- and it -- his mind was already made up about something and that you've experienced it on other occasions, when were those other occasions?","disfluency_correction, temp","So when you testified earlier that his mind was made up and it -- and it -- his mind was already made up about something and that you've experienced it on other occasions, when were those other occasions?"
T476,A,I can't give you exact.,uncertainty_hedge,I can't give you exact. I can't give you exact. I can't give you exact. I can't give you exact.
T476,Q,But there were other occasions?,,But there were other occasions? There were other occasions? There were other occasions? There were other occasions? There were other occasions? There were other occasions?
T476,A,"I'm sure if I formed that opinion I would guess there was other occasions, yes.","uncertainty_hedge, cond_unreal, cond_real","I'm sure if I formed that opinion I would guess there was other occasions, yes. I'm sure if I formed that opinion I would guess there was other occasions, yes."
T476,Q,But you don't remember?,,But you don't remember? You don't remember? You don't remember? You don't remember? You don't remember? You don't remember?
T476,A,"Recall them, no. ",,"Recall them, no. Recall them, no. Recall them, no. Recall them, no. Recall them, no."
T476,Q,"None of these would have had -- conversations would have happened by email, would they have?","cond_unreal, disfluency_correction","None of these would have had -- conversations would have happened by email, would they have? ""None of these would have had -- conversations would have happened by email, would they have?"""
T476,A,I have no -- I doubt it.,,I have no -- I doubt it.I have no -- I doubt it. I have no -- I doubt it. I have no -- I doubt it.
T476,Q,What about text messages?,,What about text messages? What about text messages? What about text messages? What about text messages? What about text messages? What about text messages?
T476,A,I don't believe he's ever texted me.,uncertainty_hedge,I don't believe he's ever texted me. I don't believe he's ever texted me. I don't believe he's ever texted me. I don't believe he's ever texted me.
T476,Q,"Okay. All right. So next there’s a — the next sentence says, “He also said that due to the losses KCF had, the three of us would pay for the new salesperson by taking a fourth percentage or a quarter percentage from each sales staff members’ compensation. The following day, Tuesday, I sent an email to Ken.” So tell me about — at some point you — the call ended, right? That call in April of 2017.","disfluency_correction, temp","The call ended in April of 2017. The following day, Tuesday, I sent an email to Ken. That call in April of 2017. That call in April of 2017."
T476,A,Okay. Yes.,,Okay. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes.
T476,Q,And what happened next between the time you sent the email to Ken and after you got off that phone call?,temp,And what happened next between the time you sent the email to Ken and after you got off that phone call? Share your story with CNN iReport.
T476,A,I would assume I tried speaking with both Jed and Eric about it. I don't think I had a conversation with Eric. I can't recall specifically.,uncertainty_hedge,I would assume I tried speaking with both Jed and Eric about it. I don't think I had a conversation with Eric. I can't recall specifically.
T476,Q,So you tried to speak with Jed and Eric?,,So you tried to speak with Jed and Eric? You tried to speak with Jed and Eric? You tried to speak with Jed and Eric? You tried to speak with Jed and Eric?
T476,A,I'm sure I did.,uncertainty_hedge,I'm sure I did. I'm sure I did. I'm sure I did. I'm sure I did. I'm sure I did. I'm sure I did.
T476,Q,Did you actually speak with Jed?,,Did you actually speak with Jed? Did you actually speak with Jed? Did you actually speak with Jed? Did you actually speak with Jed? Did you actually speak with Jed?
T476,A,I believe I did.,uncertainty_hedge,I believe I did. I believe I did. I believe I did. I believe I did. I believe I did. I believe I did. I believe I did.
T513,Q,"Understood. So I want to talk about your job, throughout your time at the Oregon State Penitentiary.
Have you had the same job from 2009 to the present?
",temp,Have you had the same job from 2009 to the present? Yes. Have you had the same job from 2009 to the present? Yes. Have you had the same job from 2009 to the present? Yes.
T513,A,"I've -- I've -- the position of the correctional medi- -- pardon me -- correctional physician specialist in the department gives us ability to move from -- from site to site. So my job has been the same, but I have had different sites.","disfluency_repeat, disfluency_gen","I've -- I've -- the position of the correctional medi- -- pardon me -- correctional physician specialist in the department gives us ability to move from -- from site to site. So my job has been the same, but I have had different sites."
T513,Q,"So in this whole time, were you the chief
medical officer for the Oregon State Penitentiary?
","temp, cond_real","So in this whole time, were you the chief medical officer for the Oregon State Penitentiary? If so, what were you doing there?"
T513,A,No.,,No. 1. No. 2. No. 3. No. 4. No. 5. No. 5. No. 6. No. 7. No. 8. No. 9. No. 10.
T513,Q,Okay. So what years were you the chief medical officer for the Oregon State Penitentiary?,,The Oregon State Penitentiary is home to the state's maximum security prison system. The state's chief medical officer is responsible for overseeing the prison's health care.
T513,A,"That, I always have to think a bit about. It's been, I think, the last six, almost seven, years","uncertainty_hedge, temp","That, I always have to think a bit about. It's been, I think, the last six, almost seven, years. It's been, I think, the last six, almost seven, years."
T513,Q,"So when you came to the Oregon Department of Corrections in 2009, what was your job?",temp,"So when you came to the Oregon Department of Corrections in 2009, what was your job? What was your job? What was your job? What was your job? What was your job?"
T513,A,My job was to be a physician on -- on staff here,disfluency_repeat,My job was to be a physician on -- on staff here. My job was to be a physician on -- on staff here. My job was to be a physician on -- on staff here
T513,Q,"Okay. So -- and then, did you have any other jobs before you transitioned to becoming the chief medical officer of the Oregon State Penitentiary?",disfluency_gen,"Okay. So -- and then, did you have any other jobs before you transitioned to becoming the chief medical officer of the Oregon State Penitentiary?"
T513,A,"That, again, I have to think. Because for two years, I was working -- I was covering both Coffee Creek, which is the intake center and women's prisons, and OSP. And somewhere in that two-year period, I was transitioning from one to the other and was able to take up the duties. So that would have been around 2012 or '13, I think. No. '13, '14. Again, it's just a guess","uncertainty_hedge, disfluency_gen, disfluency_correction, cond_unreal, temp","That, again, I have to think. Because for two years, I was working -- I was covering both Coffee Creek, which is the intake center and women's prisons, and OSP. And somewhere in that two-year period, I was transitioning from one to the other. So that would have been around 2012 or '13, I think."
T513,Q,"Okay. And then, I think you said that you became chief medical officer of the Oregon State Penitentiary roughly six or seven years ago? ","uncertainty_gen, temp","You became chief medical officer of the Oregon State Penitentiary roughly six or seven years ago. And then, I think you said that you became chief medical officer of the Oregon State Penitentiary roughly six or seven years ago?"
T513,A,Yes.,,Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes.
T513,Q,So does 2015 sound about right,"uncertainty_hedge, temp","So does 2015 sound about right? Well, it does to me. I mean, it does. It's the year 2015. It's 2015."
T513,A,"2014, 2015, something like that. It's when Dr. Degner retired. Again, since my position doesn't change, I don't have -- you don't apply for these -- these changes. Our -- our credentialing, essentially, is continuous through them. It's just what I'm doing on a particular day. And like I said, it -- there isn't a new job description, essentially, that comes from our -- my -- my position has been the same position with the department the whole time.","disfluency_repeat, disfluency_correction, temp, uncertainty_hedge","2014, 2015, something like that. It's when Dr. Degner retired. Since my position doesn't change, I don't have -- you don't apply for these -- these changes. It's just what I'm doing on a particular day."
T532,Q,"Okay. So that’s what I’m trying to clarify. So this is a list of everything that was sent to you, correct?",,"Okay. So that’s what I’m trying to clarify. So this is a list of everything that was sent to you, correct? So this is a list of everything that was sent to you, correct?"
T532,A,"This -- this is list that the -- that the counsel for the defense said that they sent to me, and I
have no reason to doubt it.","disfluency_correction, uncertainty_hedge","This -- this is list that the -- that the counsel for the defense said that they sent to me, and I have no reason to doubt it."
T532,Q,Okay.,disfluency_repeat,Okay.
T532,A,"But I haven't gone through it page by page. I've got 12 feet of -- a little more than 12 feet of
shelf space for this and possibly an equal amount that's not printed up.",disfluency_correction,I've got 12 feet of -- a little more than 12 feet of shelf space for this and possibly an equal amount that's not printed up. I haven't gone through it page by page.
T532,Q,"Can you tell me, if a document is listed here next to your name, does that mean that you reviewed it?",cond_real,"Can you tell me, if a document is listed here next to your name, does that mean that you reviewed it? If a document is listed here next to your name, does that mean that you reviewed it?"
T532,A,"Again, my answer's the same. I don't -- I don't know that this list is -- I can't -- I can't testify that this list is exactly what I received, because I haven't had a chance to go through this list and go through the 40,000 pages I've received to reconcile them both. Obviously, that would be prohibitive. But everything I received, I went through.","cond_unreal, disfluency_repeat","CNN's John Berman says he's not sure this list is exactly what he received. ""I don't know that this list is -- I can't -- I can't testify that this list is exactly what I received,"" he says."
T532,Q,Okay. That's essentially my question. You reviewed everything that you received?,,Okay. That's essentially my question. You reviewed everything that you received? You reviewed everything that you received? You reviewed everything that you received?
T532,A,Correct.,,Correct.
T532,Q,"So if a document is listed here as something that you received, and you actually did receive it, you reviewed it; is that right?",cond_unreal,"So if a document is listed here as something that you received, and you actually did receive it, you reviewed it; is that right? So if a document is listed here as something that you received, and you actually did receive it, you reviewed it."
T532,A,"If I actually did receive it, yes.","uncertainty_hedge, cond_unreal","If I actually did receive it, yes. If I actually did receive it, yes. If I actually did receive it, yes. If I actually did receive it, yes."
T532,Q,How was it decided what documents that you would review?,cond_real,How was it decided what documents that you would review? How was it decided what documents that you would review? How was it decided what documents that you would review?
T532,A,Don't know.,uncertainty_gen,Don't know. Don't know. Don't know. Don't know. Don't know. Don't know. Don't know. Don't know.
T532,Q,Did you -- did you have any input into which documents you wanted to review?,disfluency_repeat,Did you -- did you have any input into which documents you wanted to review? Did you have any input into which documents you wanted to review? Did you have any input into which documents you wanted to review?
