ID,Excerpt,Feature,SubFeature,GoldSummary,t5_summary,flan_t5_summary
19.0,I’m not entirely certain.,Hedge,Phrase hedge,The deponent states that they aren’t entirely certain.,I’m not entirely certain if this is a good thing or not . i’m unsure if it’s a bad thing or something.,I’m not entirely certain. I’m not entirely certain. I’m not entirely certain.
,,,,,,
20.0,"“If she can testify tomorrow, the court will proceed.”",Conditional,Real,"“The deponent says that if she can testify tomorrow, the court will proceed.”","'If she can testify tomorrow, the court will proceed,' said the judge .",She said she will testify tomorrow if she is unable to testify in a hearing.
21.0,"“If they will arrive on time, we can start the meeting.”",Conditional,Real,"“The deponent states that if they will arrive on time, we can start the meeting.”","if they will arrive on time, we can start the meeting,” he said .","“If they will arrive on time, we can start the meeting,” he said, referring to a spokesman."
22.0,"“If it is raining, the event moves indoors.”",Conditional,Real,"“The deponent explains that if it is raining, the event moves indoors.”","'if it is raining, the event moves indoors,' says a spokesman .","“If it is raining, the event moves indoors,” he said. “If it is raining, the event moves outdoors.”"
23.0,"“If you could provide the documents, I’d appreciate it.”",Conditional,Real,"“The deponent requests that if you could provide the documents, they would appreciate it.”","“If you could provide the documents, I’d appreciate it,” he said .","“If you could provide the documents, I’d appreciate it,” he told the jury."
24.0,"“If we are late, they will leave without us.”",Conditional,Real,"“The deponent warns that if we are late, they will leave without us.”","'If we are late, they will leave without us,' he says .","“If we are late, they will leave without us,” he said, referring to a witness who was questioned by the police."
25.0,"“If he had known the truth, he would have acted differently.”",Conditional,Unreal,"“The deponent says that if he had known the truth, he would have acted differently.”","if he had known the truth, he would have acted differently,” he said .","He said he would have acted differently if he had known the truth, but he did not."
26.0,"“If they would have informed me, I could have prepared.”",Conditional,Unreal,"“The deponent explains that if they would have informed them, they could have prepared.”","'If they would have informed me, I could have prepared,' he said .","“If they would have informed me, I could have prepared,” he told the jury."
27.0,"“If she had seen the sign, she wouldn’t have entered.”",Conditional,Unreal,"“The deponent states that if she had seen the sign, she wouldn’t have entered.”","if she had seen the sign, she wouldn’t have entered,” he said .","“If she had seen the sign, she wouldn’t have entered,” he said."
28.0,"“If we had taken a taxi, we wouldn’t have been late.”",Conditional,Unreal,"“The deponent reports that if we had taken a taxi, we wouldn’t have been late.”","if we had taken a taxi, we wouldn’t have been late,” he said .","“If we had taken a taxi, we wouldn’t have been late,” he said."
29.0,“They would have noticed the error if it had been obvious.”,Conditional,Unreal,“The deponent says they would have noticed the error if it had been obvious.”,"“They would have noticed the error if it had been obvious,” he says .","“They would have noticed the error if it had been obvious,” he told the jury."
30.0,"If you submit the report by Monday, we will review it.",Conditional,Real – Future,"The deponent states that if you submit the report by Monday, we will review it.","if you submit the report by Monday, we will review it . cnn.com's ireport.com: tell us what you think .","If you submit a report by Monday, we will review it. If you submit a report by Monday, we will review it."
31.0,"If the contract is signed today, the transaction will close tomorrow.",Conditional,Real – Future,"The deponent says that if the contract is signed today, the transaction will close tomorrow.","if the contract is signed today, the transaction will close tomorrow . the transaction is expected to close on tuesday .","If the contract is signed today, the transaction will close tomorrow, according to the attorney general's office."
32.0,"If the evidence is admissible, the jury can consider it.",Conditional,Real – Present,"The deponent explains that if the evidence is admissible, the jury can consider it.","if the evidence is admissible, the jury can consider it . bob greene: a jury can decide if a trial is warranted .",Decide whether or not the evidence is admissible. Decide whether or not the evidence is admissible.
33.0,"If the witnesses are present, we can start the hearing.",Conditional,Real – Present,"The deponent reports that if the witnesses are present, we can start the hearing.","if the witnesses are present, we can start the hearing . the hearing will be held at a later date .",Identify the witness. Identify the witness. Identify the witness. Identify the witness. Identify the witness.
34.0,"If the defendant pleads guilty, sentencing will follow immediately.",Conditional,Real – Future,"The deponent warns that if the defendant pleads guilty, sentencing will follow immediately.","if the defendant pleads guilty, sentencing will follow immediately . cnn.com's ireport.com: share your thoughts on ""sentencing""","If the defendant pleads guilty to a charge, he or she will be sentenced to a maximum of 10 years in prison."
35.0,"If she had told me, I might have warned him.",Conditional,Unreal – Counterfactual,"The deponent says that if she had told them, they might have warned him.","bob greene: if she had told me, he might have been warned . he says he'd have gotten a better deal if he hadn't told her.",I might have warned him if he had told me that he didn't know what he was doing.
36.0,"If they would have disclosed the document, we could have complied.",Conditional,Unreal – Counterfactual,"The deponent explains that if they would have disclosed the document, we could have complied.","bob greene: if they would have disclosed the document, we could have complied . he says they could have done so.","We could have complied if they would have disclosed the document, but it was a confidential document."
37.0,"If I were in your position, I would reconsider.",Conditional,Unreal – Subjunctive,"The deponent says that if they were in your position, they would reconsider.","timothy stanley: if you were in my position, i would reconsider.","I would reconsider if I were in your position, if I were in your position."
38.0,"If he had taken the earlier train, he wouldn’t have been delayed.",Conditional,Unreal – Counterfactual,"The deponent reports that if he had taken the earlier train, he wouldn’t have been delayed.","if he had taken the earlier train, he wouldn’t have been delayed .",He said he would have taken the earlier train if he hadn’t been delayed.
39.0,"If we were to negotiate, we might reach an agreement.",Conditional,Unreal – Hypothetical,"The deponent indicates that if we were to negotiate, we might reach an agreement.","aaron carroll: if we were to negotiate, we might reach an agreement.","If we were to negotiate, we might reach an agreement. If we were to negotiate, we might reach an agreement."
,,,,,,
40.0,“She arrived before noon.”,Temporal,Sequence Marker,“The deponent states that she arrived before noon.”,"'She arrived before noon,' a spokesman for the fbi says .","“She arrived before noon,” the prosecutor said, referring to the judge’s decision to dismiss the case."
41.0,“He left after the meeting ended.”,Temporal,Sequence Marker,“The deponent reports that he left after the meeting ended.”,"'He left after the meeting ended,' he said . 'he left after he left the meeting'","“He left after the meeting ended,” a witness told the court, according to a spokesman."
42.0,"“During the discussion, the witness took notes.”",Temporal,Concurrent Marker,"“The deponent notes that during the discussion, the witness took notes.”","During the discussion, the witness took notes,” he said . he added, “the witness did not take notes” .","“The witness took notes during the discussion,” the prosecutor said in a rebuttal to the case."
43.0,"“While I was reviewing, the phone rang.”",Temporal,Concurrent Marker,"“The deponent explains that while they were reviewing, the phone rang.”","“While I was reviewing, the phone rang,” a customer service representative said . the phone was ringing and a voicemail rang .","“I was reviewing the phone ringing,” he said, referring to a phone call he received from a friend."
44.0,"“By the time I arrived, they had already left.”",Temporal,Sequence Marker,"“The deponent says that by the time they arrived, everyone had already left.”","“By the time I arrived, they had already left,” he says . he adds: “by the time i arrived, ... they had left” .",“It was a long time since I’ve seen them. I’ve never seen them again.”
45.0,"“Within two hours, the response was received.”",Temporal,Duration Span,"“The deponent states that within two hours, the response was received.”","“Within two hours, the response was received,” a spokesman said . he added that he had received a “very positive response” from the public .","“The response was received within two hours,” the prosecutor said, according to the New York Daily News."
46.0,"“Yesterday, I signed the document.”",Temporal,reference Point,"“The deponent confirms that yesterday, they signed the document.”","“Yesterday, I signed the document,” he said . the document was signed by a man he had not seen in a long time .","“I signed the document yesterday,” he said, pointing out that he had signed the document."
47.0,“The judge announced the verdict this morning.”,Temporal,relative daytime,“The deponent reports that the judge announced the verdict this morning.”,“The judge announced the verdict this morning.” judge: “The verdict is expected to be in the next few days.”,The judge ruled that the defendants were guilty of conspiracy to commit a felony and a misdemeanor felony.
48.0,“They’ll finish the report by Friday.”,Temporal,relative deadline,“The deponent indicates they’ll finish the report by Friday.”,"“They’ll finish the report by Friday,” a spokesman told cnn .","“They’ll finish the report by Friday,” he said, according to the New York Daily News."
49.0,“She had called two days before the hearing.”,Temporal,relative offset,“The deponent says she had called two days before the hearing.”,"'she had called two days before the hearing,' says a witness . the hearing will be held on thursday .","“She had called two days before the hearing,” a lawyer for the district attorney said in a statement."
50.0,"At three o’clock, the meeting commenced.",Temporal,Absolute Time,"The deponent states that at three o’clock, the meeting commenced.",the meeting commenced at three o’clock . the meeting was called off at a later date .,"The meeting was adjourned until three o’clock, when it was adjourned again."
51.0,"By next Monday, the documents must be submitted.",Temporal,Relative Deadline,"The deponent states that by next Monday, the documents must be submitted.","the documents must be submitted by next Monday . by next week, the documents will be submitted .","Prosecutors will submit the documents to the U.S. District Court for the Southern District of New York on Monday, the court said."
52.0,"As soon as the motion was filed, the hearing was scheduled.",Temporal,Sequence Marker,"The deponent reports that as soon as the motion was filed, the hearing was scheduled.","the hearing was scheduled as soon as the motion was filed . the hearing will be held on thursday, november 8 .","The hearing was scheduled to begin at 2:00 p.m. on Thursday, according to a press release from the court."
53.0,"Following the agreement, work began immediately.",Temporal,Sequence Marker,"The deponent states that following the agreement, work began immediately.",the work began immediately following the agreement . the agreement was signed by the parties to the fbi and cnn.,"During the trial, the judge ruled that the plaintiffs were not entitled to a fair trial and that the plaintiffs were entitled to a fair trial."
54.0,"Previously, I had never seen such evidence.",Temporal,Reference Point,"The deponent says that previously, they had never seen such evidence.","Previously, i had never seen such evidence before . cnn.com's john sutter says he was surprised to see such evidence .","I had never seen such evidence before, but now I can see it in my own mind."
55.0,"Over the next three weeks, the project progressed smoothly.",Temporal,Duration Span,"The deponent indicates that over the next three weeks, the project progressed smoothly.",the project progressed smoothly over the next three weeks . the project is expected to be completed by the end of the year .,"The project was completed in less than a week, according to a statement released by the company."
56.0,"Since Monday, I have been unavailable.",Temporal,Reference Point,"The deponent states that since Monday, they have been unavailable.","since Monday, I have been unavailable . since monday, i have not been able to post anything .","I have been unavailable since Monday, according to a lawyer for the plaintiffs, according to a witness."
57.0,"Until the deadline passes, we must remain vigilant.",Temporal,Relative Cut-off,"The deponent explains that until the deadline passes, we must remain vigilant.","we must remain vigilant . until the deadline passes, we must stay vigilant. cnn.com's john sutter says .","Until the deadline passes, we must remain vigilant. Until the deadline passes, we must remain vigilant."
58.0,"Meanwhile, the team continued its investigation.",Temporal,Concurrent Marker,"The deponent notes that meanwhile, the team continued its investigation.","meanwhile, the team continues its investigation . the team's investigation is still ongoing .","The team was unable to find any evidence of a criminal offense, but it was able to find evidence of a felony."
59.0,"Tomorrow, I will review the settlement offer.",Temporal,Relative Day,"The deponent says that tomorrow, they will review the settlement offer.","tomorrow, i will review the settlement offer . cnn.com's john avlon says the settlement is a good thing .",I will review the settlement offer tomorrow. I will review the settlement offer tomorrow. I will review the settlement offer tomorrow.
,,,,,,
60.0,“I … I saw him leave the room.”,Disfluency,Repetition,"“The deponent stammers, ‘I … I saw him leave the room.’”","“I ... I saw him leave the room,” he said . “He ... left the room.”","“I ... I saw him leave the room,” he said, pointing to a table in the room."
61.0,"“She said, ‘no … no, I didn’t agree to that.’”",Disfluency,Repetition,"“The deponent repeats, ‘no … no, I didn’t agree to that.’”","“She said, ‘no ... no, I didn’t agree to that.’”","“She said, ‘No ... no, I didn’t agree to that.’”"
62.0,"“Um, I think it was around 5 pm.”",Disfluency,Filled pause,"“The deponent begins with ‘Um,’ then says they think it was around 5 pm.”","“Um, I think it was around 5 pm,” he said . he added: “it was around 6 pm.”","It was around 5 p.m., according to a witness who was questioned by a witness."
63.0,"“Uh—I mean, I was at the store.”",Disfluency,Correction,"“The deponent says, ‘Uh—I mean, I was at the store.’”","“Uh—I mean, I was at the store,” he says . he adds, “i was at a store.”","“Uh—I mean, I was at the store,” he said, according to a witness."
64.0,"“I—I’m sorry, I forgot the address.”",Disfluency,Correction,"“The deponent apologizes, ‘I—I’m sorry, I forgot the address.’”","“I—I’m sorry, I forgot the address,” he said . “I forgot the . address.” he added .","“I—I’m sorry, I forgot the address,” he said, referring to a phone call he received from his wife."
65.0,"“They, they told me to wait outside.”",Disfluency,Repetition,"“The deponent repeats, ‘They, they told me to wait outside.’”","“They, they told me to wait outside,” he said . “It’s not like i’m going to be able to do that,” said a man .","“They, they told me to wait outside,” he said. “I don’t know if I’m going to be able to get out of here.”"
66.0,"“Well, um, I’m not entirely sure.”",Disfluency,Filled pause,"“The deponent hesitates with ‘Well, um, I’m not entirely sure.’”","“Well, um, I’m not entirely sure,” he said . “I don’t know what the hell is going on here.”","“Well, um, I’m not entirely sure,” he said, referring to the fact that he’s not sure if he’ll be able to get a divorce."
67.0,“I … I don’t recall his name.”,Disfluency,Stutter,"“The deponent stammers, ‘I … I don’t recall his name.’”","“I ... I don’t recall his name,” he says . he is not a lawyer, but a philanthropist and a writer .","“I don’t recall his name,” he said, referring to a man whose name he did not recognize."
68.0,"“No, no, sorry, that’s not correct.”",Disfluency,Repetition,"“The deponent repeats ‘No, no,’ then apologizes that it’s not correct.”","“No, no, sorry, that’s not correct,” a spokesman for the fbi says .","“No, no, sorry, that’s not correct,” he said. “It’s not correct.”"
69.0,“My bad—I didn’t recognize her.”,Disfluency,Correction,"“The deponent admits, ‘My bad—I didn’t recognize her.’”","“My bad—I didn’t recognize her,” she says . 'my bad—i didn't recognise her.","“My bad—I didn’t recognize her,” he said, pointing to a woman he didn’t recognize."
70.0,“S-s-she was late to the hearing.”,Disfluency,Stutter,"The deponent stutters, “S-s-she was late to the hearing.”",“S-s-she was late to the hearing.” “S.s.she ... was late.”,"“She was late to the hearing,” a lawyer told the court. “She was late to the hearing.”"
71.0,"“Um, I’m not sure what happened.”",Disfluency,Filled pause,"The deponent begins with “Um,” and says they’re not sure what happened.","“Um, I’m not sure what happened,” he says . he adds, “i don’t know what happened” .","“I’m not sure what happened,” he said. “I’m not sure what happened.”"
72.0,"“Well—no, I didn’t see him there.”",Disfluency,False start + correction,"The deponent starts “Well,” then corrects, “no, I didn’t see him there.”","“Well—no, I didn’t see him there,” he says .","“Well—no, I didn’t see him there,” he told the jury."
73.0,"“Uh, I mean, I was in the conference room.”",Disfluency,Correction,"The deponent says “Uh, I mean, I was in the conference room.”","“Uh, I mean, I was in the conference room,” he says .","“I mean, I was in the conference room,” he said, pointing to a table in the conference room."
74.0,“They… they asked me to sign.”,Disfluency,Repetition,"The deponent repeats, “They… they asked me to sign.”","they asked me to sign,” he said . “They... asked me... to sign.”","“They asked me to sign,” he said. “They asked me to sign. They asked me to sign.”"
75.0,"“I, I forgot the date.”",Disfluency,Filled pause + stutter,"The deponent stutters “I, I” and says they forgot the date.","'I, I forgot the date,' he said . 'i, I forget the date.","“I, I forgot the date,” he said, pointing out that he had forgotten the date of his wedding."
76.0,"“So, so, it was around 4 pm.”",Disfluency,Repetition,"The deponent repeats “So, so,” then says it was around 4 pm.","“So, so, it was around 4 pm. So, so,” he said .","It was around 4 p.m., according to a witness who was questioned by the jury."
77.0,“Let me… let me think about that.”,Disfluency,False start + repetition,"The deponent repeats the start, “Let me… let me think about that.”",“Let me... let me think about that.” – a spokesman for the fda .,"“Let me... let me think about that,” he said. “It’s not going to be easy.”"
78.0,“My bad—I forgot to mention the witness’s name.”,Disfluency,Apology correction,"The deponent apologizes, “My bad—I forgot to mention the witness’s name.”","“My bad—I forgot to mention the witness’s name,” a witness says .","“My bad—I forgot to mention the witness’s name,” he told the jury."
79.0,"“Uh-huh, I recall discussing it yesterday.”",Disfluency,Vocal affirmation + filled pause,"The deponent says “Uh-huh,” then recalls discussing it yesterday.","“Uh-huh, I recall discussing it yesterday,” he says . he adds, “i remember talking about it yesterday” .","“Uh-huh, I recall discussing it yesterday,” he said, referring to a remark he made to the judge."
,,,,,,
80.0,"I think, well, maybe it was around three o'clock when I saw him leaving the building. I'm not entirely sure about the exact time, but it seems like that's when it happened. You know, I could be wrong though.",Women's Speech,Multiple hedges + politeness,"The deponent thinks it was around three oclock when she saw him leaving, but she's not entirely sure of the exact time and acknowledges she could be wrong.","maybe it was around three o'clock when I saw him leaving the building . you know, i could be wrong though .","I think, well, maybe it was around three o'clock when I saw him leaving the building."
81.0,"It appears that the document might have been misplaced or something. I mean, I thought I had put it in the usual filing spot, but I can't be completely certain. Sorry if that's not very helpful.",Women's Speech,Hedging + apologetic politeness,"The deponent says it appears the document might have been misplaced, though she thought she put it in the usual spot but can't be completely certain, and apologizes if this isn't helpful.",it appears that the document might have been misplaced or something . john sutter: sorry if that's not helpful .,"I'm not sure if I've put the document in the usual filing spot, but I can't be completely sure."
82.0,"I suppose the meeting could have started earlier than scheduled. It's possible that they began without waiting for everyone. I don't want to say definitively, but that seems like what probably happened.",Women's Speech,Tentative assertions + hedging,"The deponent supposes the meeting could have started early and it's possible they began without waiting, but she doesn't want to say definitively, though that seems like what probably happened.",bob greene: it's possible that the meeting could have started earlier than planned . he says the meeting may have started without waiting for everyone . greene says it seems like that could have happened .,"I don't want to say definitively, but that seems like what happened probably started without waiting for everyone."
83.0,"Well, I think he might have been upset about the decision, you know? I mean, it seemed like he wasn't very happy when he left the room. But I could be misreading the situation entirely.",Women's Speech,Collaborative + hedged interpretation,"The deponent thinks he might have been upset about the decision and it seemed like he wasn't happy when leaving, but acknowledges she could be misreading the situation entirely.","lz granderson: it seemed like he wasn't very happy when he left the room . but he could be misreading the situation entirely, he says .","Well, I think he might have been upset about the decision, you know? Well, it seemed like he wasn't very happy when he left the room."
84.0,"I'm not sure if this is relevant, but it feels like there might have been some tension in the office that day. I don't want to speculate too much, but several people seemed a bit on edge, if that makes sense.",Women's Speech,Uncertainty + collaborative checking,"The deponent isn't sure if it's relevant, but feels there might have been tension that day and doesn't want to speculate too much, though several people seemed on edge.","it feels like there might have been some tension in the office that day . i don't want to speculate too much, but several people seemed a bit on edge .","I'm not sure if this is relevant, but it feels like there might have been some tension in the office that day."
85.0,"I believe the email was sent sometime in the morning, probably around nine-thirty or so. At least, that's my recollection, though I could certainly be mistaken about the timing.",Women's Speech,Qualified certainty + hedging,"The deponent believes the email was sent around nine-thirty in the morning, at least according to her recollection, though she could be mistaken about the timing.","bob greene: i believe the email was sent around nine-thirty or so . he says i could certainly be mistaken about the timing of the email . greene says it's a good email, but i'm not sure if it was sent early or late .","I believe the email was sent sometime in the morning, probably around nine-thirty or so."
86.0,"It's hard to say for sure, but I think maybe the project was running behind schedule. I mean, that's the impression I got from the conversations, but I don't want to make assumptions.",Women's Speech,Uncertainty + interpretive hedging,"The deponent says it's hard to say for sure, but thinks maybe the project was behind schedule based on her impression from conversations, though she doesn't want to make assumptions.","it's hard to say for sure, but i think maybe the project was running behind schedule . i don't want to make assumptions .","It's hard to say for sure, but I think maybe the project was running behind schedule."
87.0,"I suppose it's possible that I misunderstood the instructions. Perhaps they meant something different than what I initially thought. I should have asked for clarification, really.",Women's Speech,Self-doubt + responsibility-taking,"The deponent supposes it's possible she misunderstood the instructions and perhaps they meant something different than she initially thought, acknowledging she should have asked for clarification.",it's possible that i misunderstood the instructions . maybe they meant something different than what i initially thought .,I suppose it's possible that I misunderstood the instructions. Perhaps they meant something different than what I initially thought. I should have asked for clarification.
88.0,"Well, I think the contract might need some revisions, you know? I mean, there are a few clauses that seem a bit unclear to me. But maybe that's just my interpretation of the language.",Women's Speech,Tentative criticism + collaborative discourse,"The deponent thinks the contract might need revisions because some clauses seem unclear to her, but acknowledges that might just be her interpretation of the language.",there are a few clauses that seem a bit unclear to me . maybe that's just my interpretation of the language .,"I think the contract might need some revisions, you know. But maybe that's just my interpretation of the language."
89.0,"I'm pretty sure the deadline was supposed to be Friday, but I don't want to say that with complete certainty. It's possible I'm remembering wrong, so you might want to double-check that information.",Women's Speech,Qualified assertion + helpful suggestion,"The deponent is pretty sure the deadline was Friday but doesn't want to say that with complete certainty, noting it's possible she's remembering wrong and suggesting to double-check.","it's possible i'm remembering wrong, so you might want to double-check .","I'm pretty sure the deadline was supposed to be Friday, but I don't want to say that with complete certainty."
90.0,"If I remember correctly, and I might not be, the invoice was supposed to be processed last week. But I'm thinking there could have been a delay or something. I hope I'm not causing any confusion here.",Women's Speech,Memory hedging + apologetic concern,"The deponent thinks she remembers the invoice was supposed to be processed last week but acknowledges she might not remember correctly, suggesting there could have been a delay and hoping she's not causing confusion.",the invoice was supposed to be processed last week . but i'm thinking there could have been a delay or something .,"The invoice was supposed to be processed last week, but I'm thinking there could have been a delay."
91.0,"I sort of got the impression that he wasn't entirely comfortable with the arrangement, you know what I mean? But then again, I might be reading too much into his body language. It's just a feeling I had.",Women's Speech,Impression hedging + collaborative checking,"The deponent got the impression he wasn't entirely comfortable with the arrangement but acknowledges she might be reading too much into his body language, describing it as just a feeling.",lz granderson: he wasn't entirely comfortable with the arrangement . he says he might be reading too much into his body language . granderson says it was just a feeling .,"I sort of got the impression that he wasn't entirely comfortable with the arrangement, but then again, I might be reading too much into his body language."
92.0,"I want to say it was Tuesday when we discussed this, but I'm not one hundred percent certain. Actually, now that I think about it, it might have been Wednesday. Sorry, I know that's not very precise.",Women's Speech,Self-correction + apologetic uncertainty,"The deponent wants to say it was Tuesday when they discussed this but isn't certain, then thinks it might have been Wednesday, apologizing for not being precise.","bob greene: it might have been Tuesday, but i'm not one hundred percent certain . he says we discussed this on a tuesday, but that's not very precise . greene says he didn't know if it was Wednesday .","I want to say it was Tuesday when we discussed this, but I'm not one hundred percent certain."
93.0,"Well, from what I could tell, and I don't claim to be an expert or anything, the system seemed to be malfunctioning. But maybe someone with more technical knowledge would see it differently, I suppose.",Women's Speech,Expertise disclaimer + deference,"The deponent says from what she could tell the system seemed to be malfunctioning, but disclaims expertise and acknowledges someone with more technical knowledge might see it differently.",the system seemed to be malfunctioning . but maybe someone with more technical knowledge would see it differently .,"I don't claim to be an expert or anything, but maybe someone with more technical knowledge would see it differently."
94.0,"I believe, though I could be mistaken, that she mentioned something about needing additional resources. But I wasn't really part of that conversation directly, so I might not have the full context.",Women's Speech,Qualified belief + context disclaimer,"The deponent believes she mentioned needing additional resources but could be mistaken, noting she wasn't directly part of the conversation and might not have full context.","lz granderson: i could be mistaken, but she mentioned needing additional resources . he says i wasn't part of conversation directly, so i might not have full context . granderson says she didn't really have the full context of the conversation .","I believe, though I could be mistaken, that she mentioned something about needing additional resources. But I wasn't really part of that conversation directly."
95.0,"It kind of seemed like the client wasn't satisfied with the proposal, if I'm being honest. But I don't want to put words in anyone's mouth. That was just my perception at the time.",Women's Speech,Tentative observation + disclaimer,"The deponent says it seemed like the client wasn't satisfied with the proposal, but doesn't want to put words in anyone's mouth, noting it was just her perception.","the client wasn't satisfied with the proposal, if i'm being honest . but i don't want to put words in anyone's mouth .","I'm not going to put words in anyone's mouth, but I don't want to put words in anyone's mouth."
96.0,"I'm fairly certain, well, reasonably certain anyway, that the payment was processed before the end of the month. Though I suppose there's always a chance I'm confusing it with another transaction.",Women's Speech,Downgraded certainty + alternative possibility,"The deponent is fairly certain the payment was processed before month-end, downgrading to reasonably certain and acknowledging she might be confusing it with another transaction.",the payment was processed before the end of the month . though there's always a chance i'm confusing it with another transaction .,I'm fairly certain that the payment was processed before the end of the month. Though I suppose there's always a chance I'm confusing it with another transaction.
97.0,"If I understood him correctly, and I might not have because it was quite noisy, he said the shipment would arrive Thursday. But you know, I could have misheard. Maybe you should confirm with him directly.",Women's Speech,Conditional understanding + helpful deflection,"The deponent says if she understood correctly, he said the shipment would arrive Thursday, but notes it was noisy and she might have misheard, suggesting to confirm with him directly.","bob greene: if I understood correctly, he said shipment would arrive on friday . he says he could have misheard, but maybe you should confirm with him directly . greene says if he's correct, shipment will arrive Thursday .",I'm not sure if I understood him correctly or if he said the shipment would arrive Thursday.
99.0,"I have a vague recollection of discussing this issue, but I'm not entirely clear on all the details. It might have been during the quarterly review, or possibly earlier. I'm sorry I can't be more specific.",Women's Speech,Vague memory + temporal uncertainty,"The deponent has a vague recollection of discussing the issue but isn't clear on details, thinking it might have been during the quarterly review or earlier, apologizing for lack of specificity.","it might have been during the quarterly review, or perhaps earlier . john sutter: i'm sorry i can't be more specific.","I have a vague recollection of discussing this issue, but I'm not entirely clear on all the details."
100.0,"I tend to think that the problem started when we changed vendors, but that's just my opinion. Others might see it differently, and they could very well be right. I don't have all the information.",Women's Speech,Opinion hedging + deference to others,"The deponent tends to think the problem started when they changed vendors but frames it as just her opinion, acknowledging others might see it differently and could be right as she doesn't have all information.","the problem started when we changed vendors, but that's just my opinion . others might see it differently and they could very well be right .","I think the problem started when we changed vendors, but that's just my opinion. Others might see it differently."
,,,,,,
