ID,Excerpt,Feature,SubFeature,GoldSummary,gpt_default,gpt_feature_preserving,gpt_legal_context,gpt_bias_aware
13.0,I suspect he might have left early.,Hedge,Phrase hedge,The deponent states that they suspect he might have left early.,The speaker believes that the person in question may have left before the expected time.,"The speaker expressed uncertainty, stating that they suspect the person in question might have left early.","The speaker expresses uncertainty by using the word ""suspect"" and hedges the statement by adding ""might have."" The speaker is indicating a belief that someone may have left early, but is not certain. This statement should be considered in the context of assessing the witness's credibility and the accuracy of their testimony.","The guy, like, maybe, I think, he could've, you know, left before everyone else."
14.0,I reckon she was unaware.,Hedge,Phrase hedge,The deponent states that they reckon she was unaware.,The testimony suggests that the person believed that she was unaware of something.,The speaker believes that she was unaware.,The speaker believes that she was unaware.,The speaker thinks she didn't know.
15.0,It appears they didn’t receive the notice.,Hedge,Lexical hedge,The deponent states that it appears they didn’t receive the notice.,The notice was not received by the intended recipient.,It seems like they might not have received the notice.,The witness stated that it seems like they did not receive the notice.,"They, like, didn't get the notice, you know?"
16.0,They seem to have forgotten the deadline.,Hedge,Lexical hedge,The deponent states that they seem to have forgotten the deadline.,The testimony indicates that someone has forgotten a deadline.,It appears that they may have forgotten the deadline.,The deponent appears to suggest that there may have been a lapse in memory regarding the deadline.,"Seems like they kinda forgot about the deadline, you know?"
17.0,I would say the report is incomplete.,Hedge,Phrase hedge,The deponent states that they would say the report is incomplete.,The testimony indicates that the report in question is considered incomplete.,The witness expressed uncertainty by stating that they think the report might be incomplete.,The witness expressed uncertainty about the completeness of the report.,"The report, like, um, it's not, like, totally finished, you know?"
18.0,I bet the date has changed.,Hedge,Phrase hedge,The deponent states that they bet the date has changed.,The testimony simply states that the date has likely been altered or changed.,"The deponent expressed uncertainty about the date, suggesting that it may have changed.","The witness expressed uncertainty by stating ""I bet the date has changed."" This statement suggests a lack of confidence in the accuracy of the date in question.",The speaker thinks maybe the date has changed.
19.0,I’m not entirely certain.,Hedge,Phrase hedge,The deponent states that they aren’t entirely certain.,The deponent expressed uncertainty about the topic in question.,"The deposition testimony contains uncertainty with phrases like ""I think,"" ""maybe,"" and ""possibly."" The speaker uses disfluencies such as ""um"" and ""uh"" and includes modal expressions like ""could,"" ""might,"" and ""would."" The speaker also uses temporal markers to indicate uncertainty about the information provided.","The witness expressed uncertainty by stating, ""I’m not entirely certain.""",The speaker expressed uncertainty by saying they are not entirely certain.
,,,,,,,,
20.0,"“If she can testify tomorrow, the court will proceed.”",Conditional,Real,"“The deponent says that if she can testify tomorrow, the court will proceed.”",The court will proceed with the testimony if the person is able to testify the following day.,The court may proceed if she is able to testify tomorrow.,"If the individual is able to testify tomorrow, it is likely that the court will continue with the proceedings.",Court can go ahead if she can testify tomorrow.
21.0,"“If they will arrive on time, we can start the meeting.”",Conditional,Real,"“The deponent states that if they will arrive on time, we can start the meeting.”",The testimony states that the meeting can start if the individuals arrive on time.,"The speaker stated that if they will arrive on time, it is possible that the meeting could start.","The witness stated that if they arrive on time, the meeting can start.",Meeting can start if they come on time.
22.0,"“If it is raining, the event moves indoors.”",Conditional,Real,"“The deponent explains that if it is raining, the event moves indoors.”","The testimony states that if it is raining, the event will be moved indoors.","The witness stated that, um, if it is raining, um, the event, uh, could possibly move indoors.","The witness stated that, in the event of rain, the activity would be relocated indoors.","If, like, it's raining, then, you know, the event, like, goes inside."
23.0,"“If you could provide the documents, I’d appreciate it.”",Conditional,Real,"“The deponent requests that if you could provide the documents, they would appreciate it.”",The person is asking for documents to be provided.,"The deponent expressed a request for the documents, indicating appreciation if they were provided.","The deponent requested the documents, expressing appreciation if they were provided.",The person said they would appreciate it if you could give them the documents.
24.0,"“If we are late, they will leave without us.”",Conditional,Real,"“The deponent warns that if we are late, they will leave without us.”","The statement in the deposition testimony indicates that if the person or group being referred to is late, the others will depart or move on without them.","The speaker expressed uncertainty about the situation, suggesting that there is a possibility that if they arrive late, the others may leave before they get there.","The witness stated that there is a possibility that if they are late, the other party may decide to leave without them.","If we don't hurry up, they might go without us."
25.0,"“If he had known the truth, he would have acted differently.”",Conditional,Unreal,"“The deponent says that if he had known the truth, he would have acted differently.”",The testimony suggests that the person would have acted differently if they had known the truth.,"The speaker suggests that if the person in question had been aware of the truth at a certain point in time, they might have behaved in a different manner.","The witness expressed uncertainty by stating that if he had known the truth, he would have acted differently. This statement suggests a potential lack of knowledge or awareness on the part of the witness regarding the situation in question.","If he, like, knew what was really going on, he probably would have, like, done things in a different way."
26.0,"“If they would have informed me, I could have prepared.”",Conditional,Unreal,"“The deponent explains that if they would have informed them, they could have prepared.”","The person testifying is saying that if they had been informed earlier, they would have been able to prepare for something.","The speaker believes that if they had been informed, they might have been able to prepare.","The witness stated that if they had been informed, they might have been able to prepare.","If they, like, told me beforehand, I could have, you know, gotten ready."
27.0,"“If she had seen the sign, she wouldn’t have entered.”",Conditional,Unreal,"“The deponent states that if she had seen the sign, she wouldn’t have entered.”","The testimony indicates that if the person had seen a sign, they would not have entered.","The witness stated that, in their opinion, if the person in question had noticed the sign, they might not have gone in.","The witness expressed uncertainty by stating that if she had seen the sign, she wouldn't have entered.","If she, like, saw the sign, she, like, wouldn't have, you know, gone in."
28.0,"“If we had taken a taxi, we wouldn’t have been late.”",Conditional,Unreal,"“The deponent reports that if we had taken a taxi, we wouldn’t have been late.”","The statement in the deposition testimony suggests that if the speaker and others had chosen to take a taxi instead of another mode of transportation, they would not have arrived late to their destination.","The speaker expressed uncertainty about the situation by stating that if they had taken a taxi, they might not have been late.","The deponent expressed a belief that had they chosen to take a taxi, it is likely that they would not have arrived late.","If we, like, took a taxi, we, like, wouldn't have been late, you know?"
29.0,“They would have noticed the error if it had been obvious.”,Conditional,Unreal,“The deponent says they would have noticed the error if it had been obvious.”,"The testimony suggests that if the error had been easy to see, they would have noticed it.",The witness stated that they think it's possible that someone might have noticed the error if it had been really obvious.,The witness stated that it is possible that the error would have been noticed if it had been obvious.,"The error might have been noticed if it was, like, really obvious."
30.0,"If you submit the report by Monday, we will review it.",Conditional,Real – Future,"The deponent states that if you submit the report by Monday, we will review it.","The testimony states that if the report is submitted by Monday, it will be reviewed.","If you submit the report by Monday, we will possibly review it.","The legal deposition excerpt contains information that may be relevant for assessing witness credibility and testimony accuracy. It is important to note that uncertainty markers, hedges, and speech patterns are present in the excerpt. The report on this deposition should be submitted by Monday for review.","If you, like, get the report done by Monday, we might, you know, take a look at it."
31.0,"If the contract is signed today, the transaction will close tomorrow.",Conditional,Real – Future,"The deponent says that if the contract is signed today, the transaction will close tomorrow.","The testimony states that if the contract is signed today, the transaction will be completed and closed tomorrow.","The witness stated that, um, if the contract is signed today, um, the transaction could possibly close tomorrow.","The witness stated that if the contract is signed today, there is a possibility that the transaction will close tomorrow.","If, like, the contract gets signed today, then, like, the transaction might close, like, tomorrow."
32.0,"If the evidence is admissible, the jury can consider it.",Conditional,Real – Present,"The deponent explains that if the evidence is admissible, the jury can consider it.","The statement indicates that if evidence is deemed admissible, the jury is allowed to take it into consideration during their deliberations.","The witness stated that, um, they think, uh, if the evidence is admissible, then, maybe, the jury could consider it.",The admissibility of the evidence allows the jury to consider it.,"If the, uh, evidence is, like, okay to use, then, you know, the jury can, like, think about it."
33.0,"If the witnesses are present, we can start the hearing.",Conditional,Real – Present,"The deponent reports that if the witnesses are present, we can start the hearing.",The deposition testimony states that the hearing can begin if the witnesses are present.,The deposition testimony suggests that the hearing could potentially begin if the witnesses are present.,The excerpt indicates that a hearing can commence if the witnesses are present.,"We can, like, start the hearing if the witnesses are here."
34.0,"If the defendant pleads guilty, sentencing will follow immediately.",Conditional,Real – Future,"The deponent warns that if the defendant pleads guilty, sentencing will follow immediately.","If the defendant pleads guilty, sentencing will happen right away.","If the defendant pleads guilty, I think that, um, sentencing might possibly follow immediately.","If the defendant pleads guilty, it is likely that sentencing will occur promptly thereafter.","If, like, the defendant, um, pleads guilty, then, you know, the sentencing will, like, happen right away."
35.0,"If she had told me, I might have warned him.",Conditional,Unreal – Counterfactual,"The deponent says that if she had told them, they might have warned him.",The testimony indicates that the person would have warned someone if they had been informed about a certain situation.,"The speaker indicates that if the woman had informed them, they possibly would have given a warning to him.","The deponent indicated that if she had been informed, there is a possibility that she would have alerted him.","She, like, maybe could have told me, and then I could have, like, maybe warned him."
36.0,"If they would have disclosed the document, we could have complied.",Conditional,Unreal – Counterfactual,"The deponent explains that if they would have disclosed the document, we could have complied.","The testimony states that if the document had been disclosed, compliance could have been achieved.","The witness stated that if the document had been disclosed, they might have been able to comply.","The witness stated that if the document had been disclosed, they would have been able to comply.","If they, like, showed us the document, then we could have, you know, followed the rules."
37.0,"If I were in your position, I would reconsider.",Conditional,Unreal – Subjunctive,"The deponent says that if they were in your position, they would reconsider.",The statement in the deposition testimony suggests that the speaker would advise someone to reconsider their position if they were in the same situation.,"The deponent expressed uncertainty and suggested a course of action by saying, ""If I were in your position, I would reconsider.""","The deponent suggested that if they were in the recipient's position, they would advise reconsideration.","The speaker suggests that if they were in the other person's place, they would think about things again."
38.0,"If he had taken the earlier train, he wouldn’t have been delayed.",Conditional,Unreal – Counterfactual,"The deponent reports that if he had taken the earlier train, he wouldn’t have been delayed.","The testimony indicates that if the person had taken an earlier train, they would not have experienced a delay.","The witness suggested that if he had taken the earlier train, it might have prevented the delay.","The witness stated that if he had taken the earlier train, he believes he wouldn't have been delayed.","If he, like, caught the train before, he wouldn't have been late."
39.0,"If we were to negotiate, we might reach an agreement.",Conditional,Unreal – Hypothetical,"The deponent indicates that if we were to negotiate, we might reach an agreement.",The testimony suggests that reaching an agreement through negotiation is a possibility.,"The deponent stated that if negotiations were to take place, there is a possibility that an agreement could be reached.",The witness stated that there is a possibility of reaching an agreement if negotiations were to take place.,Speaker suggests that there could be a possibility of reaching an agreement through negotiation.
,,,,,,,,
40.0,“She arrived before noon.”,Temporal,Sequence Marker,“The deponent states that she arrived before noon.”,"The testimony states that ""she arrived before noon.""",The witness testified that she thinks the person arrived before noon.,The witness stated that the individual in question arrived before noon.,"She, like, got there, you know, before noon."
41.0,“He left after the meeting ended.”,Temporal,Sequence Marker,“The deponent reports that he left after the meeting ended.”,The person being asked about someone leaving a meeting said that the individual left once the meeting was over.,The individual stated that he thinks the person left after the meeting possibly ended.,The witness stated that the individual departed following the conclusion of the meeting.,"He, like, left when the meeting was over."
42.0,"“During the discussion, the witness took notes.”",Temporal,Concurrent Marker,"“The deponent notes that during the discussion, the witness took notes.”",The witness took notes during the discussion.,"The witness, um, I think, during the discussion, maybe, took notes.",The witness apparently took notes during the discussion.,"The witness, like, um, they were, you know, taking notes, like, during the discussion."
43.0,"“While I was reviewing, the phone rang.”",Temporal,Concurrent Marker,"“The deponent explains that while they were reviewing, the phone rang.”","During the deposition testimony, the speaker mentioned that they were interrupted while reviewing something by a phone call.","During my review, I think the phone possibly rang.","During the deposition, the witness stated, ""While I was reviewing, the phone rang.""","When I was, like, going over stuff, um, the phone, like, rang."
44.0,"“By the time I arrived, they had already left.”",Temporal,Sequence Marker,"“The deponent says that by the time they arrived, everyone had already left.”",The speaker arrived after the other party had already departed.,The speaker arrived at a certain time and believes that the individuals in question had already departed before their arrival.,"The witness stated that, at the time of their arrival, the individuals in question had already departed.","When I got there, um, they were, like, already gone."
45.0,"“Within two hours, the response was received.”",Temporal,Duration Span,"“The deponent states that within two hours, the response was received.”",The response was received within two hours.,"The response was received within, um, I think, two hours.",The response was received within approximately two hours.,"Response came back in, like, two hours."
46.0,"“Yesterday, I signed the document.”",Temporal,reference Point,"“The deponent confirms that yesterday, they signed the document.”",The witness stated that they signed the document the day before.,The deponent stated that they think they signed the document yesterday.,The deponent stated that they signed the document yesterday.,"Yesterday, I think I signed the document."
47.0,“The judge announced the verdict this morning.”,Temporal,relative daytime,“The deponent reports that the judge announced the verdict this morning.”,The judge announced the verdict this morning.,"The witness stated that, um, they think the judge, uh, announced the verdict, um, this morning.",The witness stated that the judge announced the verdict this morning.,"The judge, like, said the verdict today."
48.0,“They’ll finish the report by Friday.”,Temporal,relative deadline,“The deponent indicates they’ll finish the report by Friday.”,The report will be completed by Friday.,It was mentioned during the deposition that the report might be completed by Friday.,The individual stated that they believe the report will be completed by Friday.,"The report, um, should be done by Friday."
49.0,“She had called two days before the hearing.”,Temporal,relative offset,“The deponent says she had called two days before the hearing.”,"The testimony states that ""she"" made a phone call two days prior to the hearing.","The witness testified that, um, she thinks, uh, that the person in question, um, possibly called, um, two days before the hearing.","The witness stated that, to the best of their recollection, the individual in question had made a phone call two days prior to the hearing.","She like, um, called like, two days before the hearing, you know?"
50.0,"At three o’clock, the meeting commenced.",Temporal,Absolute Time,"The deponent states that at three o’clock, the meeting commenced.",The meeting started at three o'clock.,"The meeting, I think, possibly started at three o’clock.",The meeting began at approximately three o'clock.,"The meeting, like, started at, um, three o’clock."
51.0,"By next Monday, the documents must be submitted.",Temporal,Relative Deadline,"The deponent states that by next Monday, the documents must be submitted.",The documents need to be submitted by the upcoming Monday.,"The witness stated that, um, I think the documents, uh, maybe should be submitted by, uh, next Monday.","The witness stated that, to the best of their recollection, the incident occurred on a Tuesday. However, there may be some uncertainty regarding the exact day of the week. The witness mentioned that they believe the individual in question was wearing a blue jacket, but they are not entirely certain. The witness also indicated that they may have seen a vehicle parked nearby, but they cannot definitively confirm this detail. The witness's testimony should be reviewed carefully for accuracy and credibility. The deadline for submitting the documents is next Monday.","The papers gotta be turned in by, like, Monday."
52.0,"As soon as the motion was filed, the hearing was scheduled.",Temporal,Sequence Marker,"The deponent reports that as soon as the motion was filed, the hearing was scheduled.",The hearing was scheduled promptly after the motion was filed.,The hearing might have been scheduled right after the motion was filed.,The hearing was scheduled promptly after the motion was filed.,"The motion got filed, and then, like, the hearing got set up right away."
53.0,"Following the agreement, work began immediately.",Temporal,Sequence Marker,"The deponent states that following the agreement, work began immediately.",The work started right after the agreement was made.,Work may have possibly started right after the agreement was made.,The work began immediately after the agreement was made.,Work started right away after we agreed.
54.0,"Previously, I had never seen such evidence.",Temporal,Reference Point,"The deponent says that previously, they had never seen such evidence.",The person testifying had not seen such evidence before.,The deponent stated that they had never seen such evidence before.,The witness stated that they had never seen such evidence before.,I never seen nothin' like that before.
55.0,"Over the next three weeks, the project progressed smoothly.",Temporal,Duration Span,"The deponent indicates that over the next three weeks, the project progressed smoothly.",The project progressed smoothly over the next three weeks.,"The project, um, I think, maybe, possibly progressed smoothly over the next three weeks.",The project appeared to progress smoothly over the next three weeks.,"The project, like, went pretty well for the next three weeks, you know?"
56.0,"Since Monday, I have been unavailable.",Temporal,Reference Point,"The deponent states that since Monday, they have been unavailable.",The person has been unavailable since Monday.,"The individual stated that since Monday, they have been unavailable.",The witness stated that they have been unavailable since Monday.,"Since Monday, I haven't been around."
57.0,"Until the deadline passes, we must remain vigilant.",Temporal,Relative Cut-off,"The deponent explains that until the deadline passes, we must remain vigilant.",The deposition testimony emphasizes the importance of staying alert and cautious until a specific deadline has passed.,"The deponent stated that, um, until the deadline passes, we, uh, must, I think, remain vigilant.",The deponent stated that it is important to remain vigilant until the deadline passes.,"We gotta, like, keep an eye out until the time's up, you know?"
58.0,"Meanwhile, the team continued its investigation.",Temporal,Concurrent Marker,"The deponent notes that meanwhile, the team continued its investigation.",The team kept investigating during that time.,"The team, um, continued its investigation during that time.",The team proceeded with their investigation.,"The team, like, kept on, you know, doing their investigation."
59.0,"Tomorrow, I will review the settlement offer.",Temporal,Relative Day,"The deponent says that tomorrow, they will review the settlement offer.",The person will review the settlement offer the next day.,The deponent stated that they think they will possibly review the settlement offer tomorrow.,The deponent stated that they plan to review the settlement offer tomorrow.,The speaker plans to check out the settlement offer tomorrow.
,,,,,,,,
60.0,“I … I saw him leave the room.”,Disfluency,Repetition,"“The deponent stammers, ‘I … I saw him leave the room.’”",The witness saw someone leave the room.,The deponent stated that they think they possibly saw him leave the room.,The witness stated that they believe they saw the individual leave the room.,"The person, like, saw him, you know, leave the room."
61.0,"“She said, ‘no … no, I didn’t agree to that.’”",Disfluency,Repetition,"“The deponent repeats, ‘no … no, I didn’t agree to that.’”",The person being deposed stated that someone else said they did not agree to something.,"The witness recounted that the person in question responded with uncertainty, stating, ""no ... no, I didn't agree to that.""","The witness stated that the person in question said, ""no ... no, I didn't agree to that.""","She was like, um, she said something like, ""No, I didn't agree to that."""
62.0,"“Um, I think it was around 5 pm.”",Disfluency,Filled pause,"“The deponent begins with ‘Um,’ then says they think it was around 5 pm.”",The witness stated that the event occurred around 5 pm.,The witness stated that they think it was around 5 pm.,The witness stated that they believe the time was approximately 5 pm.,"Speaker said it was like, um, around 5 pm."
63.0,"“Uh—I mean, I was at the store.”",Disfluency,Correction,"“The deponent says, ‘Uh—I mean, I was at the store.’”",The person stated that they were at the store.,The deponent stated that they think they were at the store.,"The witness stated that they were at the store, but expressed uncertainty with the use of ""Uh—I mean"" at the beginning of their statement.","The person said they, like, were at the store, you know?"
64.0,"“I—I’m sorry, I forgot the address.”",Disfluency,Correction,"“The deponent apologizes, ‘I—I’m sorry, I forgot the address.’”",The person giving the testimony apologized for forgetting the address.,"The deponent expressed uncertainty about remembering the address, apologizing for forgetting it.","The witness expressed uncertainty and hesitation by stating, ""I—I’m sorry, I forgot the address.""",The speaker expressed uncertainty and apologized for forgetting the address.
65.0,"“They, they told me to wait outside.”",Disfluency,Repetition,"“The deponent repeats, ‘They, they told me to wait outside.’”",The person was instructed to wait outside.,The speaker mentioned that they were told to wait outside by someone.,The witness stated that they were told to wait outside.,"They, um, like, told me to, you know, wait outside."
66.0,"“Well, um, I’m not entirely sure.”",Disfluency,Filled pause,"“The deponent hesitates with ‘Well, um, I’m not entirely sure.’”",The witness expressed uncertainty in their testimony.,"The deponent expressed uncertainty, stating, ""Well, um, I’m not entirely sure.""","The deponent expressed uncertainty by stating, ""Well, um, I’m not entirely sure.""","The speaker expressed uncertainty by saying, ""Well, um, I’m not entirely sure."""
67.0,“I … I don’t recall his name.”,Disfluency,Stutter,"“The deponent stammers, ‘I … I don’t recall his name.’”",The person giving the deposition does not remember the name of the individual being asked about.,The individual stated that they do not remember the name of the person in question.,"The deponent expressed uncertainty about remembering the individual's name by stating, ""I ... I don’t recall his name.""",The speaker is unsure and hesitant about remembering the person's name.
68.0,"“No, no, sorry, that’s not correct.”",Disfluency,Repetition,"“The deponent repeats ‘No, no,’ then apologizes that it’s not correct.”",The person giving the deposition denied the statement as being incorrect.,"The deponent expressed disagreement with the statement, indicating that it was not accurate.",The witness denied the accuracy of the statement.,"The speaker disagreed with the statement, saying it's not correct."
69.0,“My bad—I didn’t recognize her.”,Disfluency,Correction,"“The deponent admits, ‘My bad—I didn’t recognize her.’”",The person giving the testimony admits that they made a mistake by not recognizing the individual in question.,"The deponent expressed uncertainty and admitted fault, indicating that they did not recognize the individual in question.","The deponent expressed uncertainty and admitted fault by stating ""My bad—I didn’t recognize her.""","Sorry, I didn't realize it was her."
70.0,“S-s-she was late to the hearing.”,Disfluency,Stutter,"The deponent stutters, “S-s-she was late to the hearing.”","The testimony states that ""she"" was late to the hearing.",The witness stated that she thinks the person in question might have been late to the hearing.,The witness stated that the individual in question was late to the hearing.,"She, uh, she was, like, um, late to the hearing."
71.0,"“Um, I’m not sure what happened.”",Disfluency,Filled pause,"The deponent begins with “Um,” and says they’re not sure what happened.",The person giving the testimony is unsure about what happened.,"The deponent expressed uncertainty about the events, stating, ""Um, I’m not sure what happened.""","The deponent expressed uncertainty regarding the events in question by stating, ""Um, I’m not sure what happened.""","The speaker expressed uncertainty about the situation, saying ""Um, I’m not sure what happened."""
72.0,"“Well—no, I didn’t see him there.”",Disfluency,False start + correction,"The deponent starts “Well,” then corrects, “no, I didn’t see him there.”",The person giving the testimony did not see someone at a specific location.,"The witness stated that they did not see him there, but with some uncertainty.",The witness stated that they did not see the individual at the location in question.,"The speaker said they, like, didn't see him there, you know."
73.0,"“Uh, I mean, I was in the conference room.”",Disfluency,Correction,"The deponent says “Uh, I mean, I was in the conference room.”",The person stated that they were in the conference room.,The deponent stated that they think they were in the conference room.,The witness stated that they were in the conference room.,"The person, like, said they were, um, in the conference room."
74.0,“They… they asked me to sign.”,Disfluency,Repetition,"The deponent repeats, “They… they asked me to sign.”",The person was asked to sign something.,The deponent stated that they were asked to sign.,The deponent stated that they were asked to sign.,The speaker said they were asked to sign.
75.0,"“I, I forgot the date.”",Disfluency,Filled pause + stutter,"The deponent stutters “I, I” and says they forgot the date.",The person testifying forgot the date.,The deponent stated that they forgot the date.,"The deponent expressed uncertainty about the date and stated, ""I, I forgot the date.""",The speaker mentioned that they forgot the date.
76.0,"“So, so, it was around 4 pm.”",Disfluency,Repetition,"The deponent repeats “So, so,” then says it was around 4 pm.",The witness stated that the event occurred around 4 pm.,The witness stated that it was around 4 pm.,"The witness stated that it was approximately 4 pm, but there may be some uncertainty or lack of precision in their recollection.","The person said it was like, um, around 4 pm."
77.0,“Let me… let me think about that.”,Disfluency,False start + repetition,"The deponent repeats the start, “Let me… let me think about that.”",The individual needed a moment to consider the question before providing an answer during the deposition testimony.,The deponent expressed uncertainty and requested time to consider the question.,The witness expressed uncertainty and requested time to consider the question.,The speaker needs a moment to consider the question or statement.
78.0,“My bad—I forgot to mention the witness’s name.”,Disfluency,Apology correction,"The deponent apologizes, “My bad—I forgot to mention the witness’s name.”",The speaker acknowledges their mistake in forgetting to mention the witness's name.,"The deponent acknowledged an oversight in failing to provide the name of the witness, expressing uncertainty and taking responsibility for the omission by stating, ""My bad—I forgot to mention the witness's name.""",The deponent acknowledged an oversight in failing to provide the name of the witness.,"Forgot witness's name, my bad."
79.0,"“Uh-huh, I recall discussing it yesterday.”",Disfluency,Vocal affirmation + filled pause,"The deponent says “Uh-huh,” then recalls discussing it yesterday.",The witness confirmed that they remember discussing the topic the day before.,The deponent vaguely remembers talking about it possibly yesterday.,The witness stated that they vaguely remember talking about the subject matter the day before.,The speaker mentioned that they remember talking about it yesterday.
,,,,,,,,
80.0,"I think, well, maybe it was around three o'clock when I saw him leaving the building. I'm not entirely sure about the exact time, but it seems like that's when it happened. You know, I could be wrong though.",Women's Speech,Multiple hedges + politeness,"The deponent thinks it was around three oclock when she saw him leaving, but she's not entirely sure of the exact time and acknowledges she could be wrong.","The witness saw someone leaving the building around 3 o'clock, but is unsure about the exact time and acknowledges that they could be mistaken.","The witness mentioned that it was around three o'clock when they saw the person leaving the building. They are not completely certain about the exact time, but it appears to be when the incident occurred. However, they also acknowledged the possibility of being mistaken.","The witness stated that they believe they saw the individual leaving the building around three o'clock, but they are not completely certain about the exact time. They mentioned that it seems like that's when it happened, but also acknowledged the possibility of being wrong.","The person said they think they saw him leaving the building around three o'clock, but they're not entirely sure about the exact time. It seems like that's when it happened, but they could be wrong."
81.0,"It appears that the document might have been misplaced or something. I mean, I thought I had put it in the usual filing spot, but I can't be completely certain. Sorry if that's not very helpful.",Women's Speech,Hedging + apologetic politeness,"The deponent says it appears the document might have been misplaced, though she thought she put it in the usual spot but can't be completely certain, and apologizes if this isn't helpful.","The person testifying is unsure about the location of a document, suggesting it may have been misplaced. They thought they had put it in the usual filing spot but cannot confirm for certain.","The witness expressed uncertainty about the document's whereabouts, suggesting it may have been misplaced. They thought they had placed it in the usual filing spot, but they cannot be entirely certain. They apologized for the lack of helpfulness in their testimony.","The witness expressed uncertainty regarding the location of the document, suggesting it may have been misplaced. They mentioned thinking they had placed it in the usual filing spot but could not be completely certain. The witness apologized for not being very helpful.","The document might have been lost or something. I thought I put it in the usual spot, but I'm not completely sure. Sorry if that doesn't help much."
82.0,"I suppose the meeting could have started earlier than scheduled. It's possible that they began without waiting for everyone. I don't want to say definitively, but that seems like what probably happened.",Women's Speech,Tentative assertions + hedging,"The deponent supposes the meeting could have started early and it's possible they began without waiting, but she doesn't want to say definitively, though that seems like what probably happened.","The witness believes that the meeting may have started earlier than planned and could have begun without waiting for all participants to arrive, although they are not certain.","The witness suggested that the meeting might have started before the scheduled time. It's possible that they could have begun without waiting for everyone. The witness hesitated to state conclusively, but it seems like that is what probably occurred.","The witness indicated uncertainty about the meeting start time, suggesting it may have begun earlier than scheduled and without waiting for everyone. The witness hesitated to make a definitive statement but leaned towards the likelihood of this scenario.","The meeting might have started before the set time. Maybe they didn't wait for everyone. I don't want to say for sure, but that's what I think might have happened."
